phase,model_id,fold,seed,scenario,protocol_sha256,source_prediction_sha256,run_id,score_method,valid_count,error_count,error_prevalence,error_detection_auroc,error_detection_auprc,normalized_aurc,confidence_mean,confidence_std,confidence_min,confidence_max,actual_coverage_0_80,risk_masked_bce_0_80,macro_f1_0_80,micro_f1_0_80,actual_coverage_0_90,risk_masked_bce_0_90,macro_f1_0_90,micro_f1_0_90,actual_coverage_0_95,risk_masked_bce_0_95,macro_f1_0_95,micro_f1_0_95,actual_coverage_1_00,risk_masked_bce_1_00,macro_f1_1_00,micro_f1_1_00
V3-1,B4,4,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,e6c4342abc6a5888bdd169308f132c2749befe28b8ca9d01efe46d268cd3d1cc,extrasensory-gated-fold4-seed29-full,mean_binary_certainty,51010,39000,0.7645559694177613,0.6661483507333632,0.86469969353604,0.42267217557539855,0.5713190707897081,0.21588657725896343,0.05689382370167928,0.9991502067072153,0.8,0.46011505091330485,0.6351125383607917,0.7051952303016132,0.9,0.47778691902192544,0.6122260539151065,0.6854945329064982,0.9500098019996079,0.4862540563947259,0.5999150259699751,0.6757218285669421,1.0,0.49446133984069535,0.587419539578042,0.6656745738678326
V3-1,B4,4,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,e6c4342abc6a5888bdd169308f132c2749befe28b8ca9d01efe46d268cd3d1cc,extrasensory-gated-fold4-seed29-full,mean_normalized_threshold_margin,51010,39000,0.7645559694177613,0.6449715087854138,0.8501224581240155,0.42915152326756256,0.7340858184144176,0.15557471908379872,0.23359721350945759,0.9998132341085122,0.8,0.4609337274614181,0.6514239425248093,0.7086107647213109,0.9,0.4740903243379093,0.6232855365873805,0.6895310593053803,0.9500098019996079,0.4832628338989899,0.60571702687553,0.6783078152669603,1.0,0.49446133984069535,0.587419539578042,0.6656745738678326
V3-1,B5,4,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,6e6d03276a3a9e296c947d952682908c617779fb615c36d7731affe0d97cdfbd,extrasensory-robust-gated-fold4-seed29-full,mean_binary_certainty,51010,36974,0.7248382670064694,0.6919670127659585,0.8464591145411169,0.35492496762195436,0.47006567597227167,0.21285728383554708,0.05055091255604849,0.9684676304070611,0.8,0.4280450918666917,0.6456320338412088,0.7268125568062644,0.9,0.44786947100809776,0.6262611203019635,0.7070429684736975,0.9500098019996079,0.45735296540439646,0.6164812780274687,0.6984759006220975,1.0,0.4671288090759093,0.603662875526986,0.6885668397265903
V3-1,B5,4,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,6e6d03276a3a9e296c947d952682908c617779fb615c36d7731affe0d97cdfbd,extrasensory-robust-gated-fold4-seed29-full,mean_normalized_threshold_margin,51010,36974,0.7248382670064694,0.6739012767099224,0.8246051054230766,0.3604616273678994,0.6737631501082824,0.15801526987385592,0.3005675506305227,0.9915396960249893,0.8,0.43081376443632147,0.6630666501761272,0.7306960055651155,0.9,0.44795477010033696,0.6362838658173687,0.7103225513693685,0.9500098019996079,0.45652886903248463,0.6198105726980244,0.6997903926017224,1.0,0.4671288090759093,0.603662875526986,0.6885668397265903
V3-1,P,4,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,7f1a39b15375ce508829976650397227209d937e492ca1699706301eaa5bf0b1,extrasensory-quality-aware-fold4-seed29-full,mean_binary_certainty,51010,38558,0.75589100176436,0.6684662349961535,0.8563231560993616,0.4057139721634332,0.5687095321511626,0.21472160149911462,0.05157771016237145,0.9983855294485039,0.8,0.4323414420154818,0.6275938072951887,0.7096418579660201,0.9,0.44541662035159774,0.6108182748757216,0.6928129941660026,0.9500098019996079,0.45266758501663185,0.6030557766568708,0.6841423240854944,1.0,0.46101901168098475,0.5940934950146731,0.6749528468702111
V3-1,P,4,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,7f1a39b15375ce508829976650397227209d937e492ca1699706301eaa5bf0b1,extrasensory-quality-aware-fold4-seed29-full,mean_normalized_threshold_margin,51010,38558,0.75589100176436,0.6577055176071352,0.847113504031321,0.41256736234651914,0.7346441941272104,0.15538100576731098,0.2272133110090551,0.999715151171092,0.8,0.43302080547202165,0.6366040109625232,0.7120227867873387,0.9,0.4452463012245708,0.617385363374845,0.6949057874591362,0.9500098019996079,0.4520421135585193,0.6064148183891189,0.6856640117098389,1.0,0.46101901168098475,0.5940934950146731,0.6749528468702111
V3-1,P2,4,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,mean_binary_certainty,51010,37786,0.7407567143697315,0.6771023424206797,0.8504360392298682,0.3451921722099457,0.5149625542178975,0.22430963829163858,0.05248612813927267,0.9944425594094715,0.8,0.4055608080519542,0.6440117185318807,0.7235648265920461,0.9,0.42711050478898455,0.6242987793878484,0.704480413641106,0.9500098019996079,0.43795441812185715,0.6133106288298412,0.6943959597398845,1.0,0.44783220093212,0.6024232840375966,0.6845457843808327
V3-1,P2,4,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,mean_normalized_threshold_margin,51010,37786,0.7407567143697315,0.6656848803762545,0.8414263595611019,0.3498524846910086,0.7035027664270339,0.15973715872558242,0.22256536351160164,0.9987336354505214,0.8,0.4069954315750216,0.660089506371249,0.7283292843240632,0.9,0.42625154868472465,0.6320280569409388,0.7077611865636178,0.9500098019996079,0.4364464639537141,0.6188298761697836,0.6968096461751334,1.0,0.44783220093212006,0.6024232840375966,0.6845457843808327
V3-1,P2,4,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,p2_system_reliability,51010,37786,0.7407567143697315,0.46803995150004024,0.7179845587282567,0.4846833013412117,0.9857901746736885,0.010995902789209708,0.8569379448890686,0.9992297887802124,0.8,0.46082152671179477,0.6072810328331351,0.6746003669690152,0.9,0.4570572633706601,0.6059614761167652,0.679912509113634,0.9500098019996079,0.4527956893978026,0.6047342371091033,0.6825466217679841,1.0,0.44783220093212,0.6024232840375966,0.6845457843808327
