phase,model_id,fold,seed,scenario,protocol_sha256,source_prediction_sha256,run_id,requested_coverage,coverage,accepted_count,risk_masked_bce,macro_f1,micro_f1,known_target_count,score_method,confidence_cutoff
V3-1,B4,0,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,6aff1859e866d5ba4bd3897d30ef8baa832982a9c5ee3cbc7b39ec64cebd2db7,extrasensory-gated-fold0-seed29-full,0.05,0.05000076853317758,3253,0.20281893181913555,0.445707576662763,0.9490311024263149,40189,mean_binary_certainty,0.9685784814588856
V3-1,B4,0,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,6aff1859e866d5ba4bd3897d30ef8baa832982a9c5ee3cbc7b39ec64cebd2db7,extrasensory-gated-fold0-seed29-full,0.1,0.10000153706635516,6506,0.2430981646125443,0.4106052949216698,0.9369539357643873,82127,mean_binary_certainty,0.945376406041691
V3-1,B4,0,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,6aff1859e866d5ba4bd3897d30ef8baa832982a9c5ee3cbc7b39ec64cebd2db7,extrasensory-gated-fold0-seed29-full,0.15,0.15000230559953273,9759,0.22934056523517218,0.4631183723676481,0.9324917144546667,123388,mean_binary_certainty,0.9217042588220019
V3-1,B4,0,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,6aff1859e866d5ba4bd3897d30ef8baa832982a9c5ee3cbc7b39ec64cebd2db7,extrasensory-gated-fold0-seed29-full,0.2,0.20000307413271032,13012,0.2437185595176736,0.4833390476586616,0.921186857843086,163050,mean_binary_certainty,0.8452844499369004
V3-1,B4,0,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,6aff1859e866d5ba4bd3897d30ef8baa832982a9c5ee3cbc7b39ec64cebd2db7,extrasensory-gated-fold0-seed29-full,0.25,0.2500038426658879,16265,0.2675458259988053,0.5682571473785408,0.8988875628304862,199541,mean_binary_certainty,0.7551026395845112
V3-1,B4,0,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,6aff1859e866d5ba4bd3897d30ef8baa832982a9c5ee3cbc7b39ec64cebd2db7,extrasensory-gated-fold0-seed29-full,0.3,0.30000461119906546,19518,0.27772361574282667,0.6026016071910342,0.880746088133943,232743,mean_binary_certainty,0.696929831168809
V3-1,B4,0,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,6aff1859e866d5ba4bd3897d30ef8baa832982a9c5ee3cbc7b39ec64cebd2db7,extrasensory-gated-fold0-seed29-full,0.35,0.35000537973224305,22771,0.2958540685904498,0.6060632122694118,0.8621091105997022,265092,mean_binary_certainty,0.6570347727686264
V3-1,B4,0,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,6aff1859e866d5ba4bd3897d30ef8baa832982a9c5ee3cbc7b39ec64cebd2db7,extrasensory-gated-fold0-seed29-full,0.4,0.40000614826542064,26024,0.3129830738543523,0.6097315212255594,0.8438371172925924,296925,mean_binary_certainty,0.6269293060085948
V3-1,B4,0,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,6aff1859e866d5ba4bd3897d30ef8baa832982a9c5ee3cbc7b39ec64cebd2db7,extrasensory-gated-fold0-seed29-full,0.45,0.4500069167985982,29277,0.32936618492527037,0.606509597650352,0.8258379588034593,328730,mean_binary_certainty,0.601281932568047
V3-1,B4,0,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,6aff1859e866d5ba4bd3897d30ef8baa832982a9c5ee3cbc7b39ec64cebd2db7,extrasensory-gated-fold0-seed29-full,0.5,0.5000076853317758,32530,0.3410848977501845,0.6063942993125855,0.8112908952574182,358840,mean_binary_certainty,0.5765011154027352
V3-1,B4,0,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,6aff1859e866d5ba4bd3897d30ef8baa832982a9c5ee3cbc7b39ec64cebd2db7,extrasensory-gated-fold0-seed29-full,0.55,0.5500084538649533,35783,0.34965459514736597,0.6102733884854026,0.7999417054904966,389563,mean_binary_certainty,0.5493953484666378
V3-1,B4,0,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,6aff1859e866d5ba4bd3897d30ef8baa832982a9c5ee3cbc7b39ec64cebd2db7,extrasensory-gated-fold0-seed29-full,0.6,0.6000092223981309,39036,0.35721821264155157,0.6106606408197662,0.7893905627599277,419476,mean_binary_certainty,0.5237895608672869
V3-1,B4,0,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,6aff1859e866d5ba4bd3897d30ef8baa832982a9c5ee3cbc7b39ec64cebd2db7,extrasensory-gated-fold0-seed29-full,0.65,0.6500099909313085,42289,0.3646978985099614,0.6073301391022693,0.7797349231375641,449631,mean_binary_certainty,0.49678538824713414
V3-1,B4,0,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,6aff1859e866d5ba4bd3897d30ef8baa832982a9c5ee3cbc7b39ec64cebd2db7,extrasensory-gated-fold0-seed29-full,0.7,0.7000107594644861,45542,0.3714753151940405,0.6036996470812311,0.7700539703452022,480444,mean_binary_certainty,0.46609727305772775
V3-1,B4,0,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,6aff1859e866d5ba4bd3897d30ef8baa832982a9c5ee3cbc7b39ec64cebd2db7,extrasensory-gated-fold0-seed29-full,0.75,0.7500115279976637,48795,0.37860452664893857,0.6009169662399441,0.7602030825022665,511746,mean_binary_certainty,0.4324730617613678
V3-1,B4,0,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,6aff1859e866d5ba4bd3897d30ef8baa832982a9c5ee3cbc7b39ec64cebd2db7,extrasensory-gated-fold0-seed29-full,0.8,0.8000122965308413,52048,0.3872610515091125,0.5943523000796195,0.7494838595004033,543729,mean_binary_certainty,0.3971276303087785
V3-1,B4,0,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,6aff1859e866d5ba4bd3897d30ef8baa832982a9c5ee3cbc7b39ec64cebd2db7,extrasensory-gated-fold0-seed29-full,0.85,0.8500130650640189,55301,0.39687266244358277,0.5868697553690999,0.7390987010806027,575934,mean_binary_certainty,0.356762544431514
