model_id,scenario_id,fault,target_modality,fault_length,phase,macro_f1,micro_f1,masked_bce,macro_f1_fold_std,micro_f1_fold_std,masked_bce_fold_std,fold_count,seed_count_per_fold
B4,persistent.drop.phone_gyro,drop,phone_gyro,30,pre,0.599804223899,0.739007206159,0.37705001413,0.0560238604181,0.0337853243725,0.0398409255663,5,3
B4,persistent.drop.phone_state,drop,phone_state,5,fault,0.564769736446,0.671264415464,0.463241623231,0.0349146819842,0.0241361945134,0.0377647735993,5,3
B4,persistent.drop.phone_state,drop,phone_state,5,post,0.601188529274,0.710050282676,0.417778801474,0.0335906151192,0.0280042694024,0.0314860460429,5,3
B4,persistent.drop.phone_state,drop,phone_state,5,pre,0.601991860099,0.712139101685,0.414438956246,0.0385161681784,0.0254004966704,0.0273302794537,5,3
B4,persistent.drop.phone_state,drop,phone_state,15,fault,0.577750631446,0.689486500255,0.436963692819,0.0453815648584,0.0231008004264,0.0504246086154,5,3
B4,persistent.drop.phone_state,drop,phone_state,15,post,0.607809938314,0.728014116701,0.389816802158,0.0515631503302,0.025184602924,0.0287061777734,5,3
B4,persistent.drop.phone_state,drop,phone_state,15,pre,0.598298622178,0.725402193369,0.393134481846,0.0427863616578,0.0316263130727,0.0381959642376,5,3
B4,persistent.drop.phone_state,drop,phone_state,30,fault,0.561995635967,0.699781542681,0.420418482702,0.0569337341324,0.0275422040696,0.0562261079732,5,3
B4,persistent.drop.phone_state,drop,phone_state,30,post,0.609874471618,0.74341852749,0.376973083177,0.0456609418616,0.0348069566464,0.0447359386201,5,3
B4,persistent.drop.phone_state,drop,phone_state,30,pre,0.599804223899,0.739007206159,0.37705001413,0.0560238604181,0.0337853243725,0.0398409255663,5,3
B4,persistent.drop.watch_acc,drop,watch_acc,5,fault,0.566064060272,0.69273059216,0.448167914634,0.028215342425,0.0347690369471,0.0334434912818,5,3
B4,persistent.drop.watch_acc,drop,watch_acc,5,post,0.601188529274,0.710050282676,0.417778801474,0.0335906151192,0.0280042694024,0.0314860460429,5,3
