model_id,fold,scenario_id,drop_modality,noisy_modality,gaussian_sigma,macro_f1,micro_f1,mean_average_precision,brier_score,seed_count
B4,0,mixed.drop-phone_gyro.gaussian-phone_state.sigma-2,phone_gyro,phone_state,2,0.506222157962,0.670002923112,0.507592845319,0.136755389693,3
B4,0,mixed.drop-phone_gyro.gaussian-watch_acc.sigma-1,phone_gyro,watch_acc,1,0.5398093679,0.707719023327,0.53994614661,0.125840055196,3
B4,0,mixed.drop-phone_gyro.gaussian-watch_acc.sigma-2,phone_gyro,watch_acc,2,0.524425427147,0.697582614069,0.517538866044,0.130129305133,3
B4,0,mixed.drop-phone_state.gaussian-audio.sigma-1,phone_state,audio,1,0.505265572685,0.654644713728,0.50796257927,0.144564971927,3
B4,0,mixed.drop-phone_state.gaussian-audio.sigma-2,phone_state,audio,2,0.488815466042,0.638351967327,0.492687675325,0.151676367726,3
B4,0,mixed.drop-phone_state.gaussian-location.sigma-1,phone_state,location,1,0.526416956564,0.676194917854,0.526519782567,0.134323205708,3
B4,0,mixed.drop-phone_state.gaussian-location.sigma-2,phone_state,location,2,0.509346096719,0.665424002563,0.506292939483,0.139538925844,3
B4,0,mixed.drop-phone_state.gaussian-phone_acc.sigma-1,phone_state,phone_acc,1,0.543270826763,0.690737610088,0.548724405476,0.127698478579,3
B4,0,mixed.drop-phone_state.gaussian-phone_acc.sigma-2,phone_state,phone_acc,2,0.537286167705,0.686940350373,0.543040777672,0.129333460897,3
B4,0,mixed.drop-phone_state.gaussian-phone_gyro.sigma-1,phone_state,phone_gyro,1,0.547540767581,0.693172378724,0.549838651073,0.12671487507,3
B4,0,mixed.drop-phone_state.gaussian-phone_gyro.sigma-2,phone_state,phone_gyro,2,0.543970825239,0.690529180509,0.543618756354,0.128085253216,3
B4,0,mixed.drop-phone_state.gaussian-watch_acc.sigma-1,phone_state,watch_acc,1,0.517422145178,0.670109649271,0.517427870977,0.136786889657,3
B4,0,mixed.drop-phone_state.gaussian-watch_acc.sigma-2,phone_state,watch_acc,2,0.495875372912,0.655244871676,0.491791034311,0.143421440247,3
B4,0,mixed.drop-watch_acc.gaussian-audio.sigma-1,watch_acc,audio,1,0.501859102735,0.678733868177,0.50053670283,0.139978003303,3
B4,0,mixed.drop-watch_acc.gaussian-audio.sigma-2,watch_acc,audio,2,0.486478154101,0.665768930996,0.486993154119,0.144722900399,3
B4,0,mixed.drop-watch_acc.gaussian-location.sigma-1,watch_acc,location,1,0.510037277779,0.688368332647,0.511602237501,0.135484860044,3
B4,0,mixed.drop-watch_acc.gaussian-location.sigma-2,watch_acc,location,2,0.497784217977,0.681084252344,0.498742207847,0.139741343251,3
