run_key,attempt,status,started_at,finished_at,return_code,log_path,reason
V2-3|P2|fold0|seed13,1,success,2026-09-17T13:35:10.981060+00:00,2026-09-17T14:06:26.465235+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2_fold0_seed13\attempt-1.log,
V2-3|P2-A1|fold0|seed13,1,success,2026-09-17T14:06:26.465235+00:00,2026-09-17T14:35:47.354363+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2-A1_fold0_seed13\attempt-1.log,
V2-3|P2-A2|fold0|seed13,1,success,2026-09-17T14:35:47.360869+00:00,2026-09-17T15:02:55.049020+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2-A2_fold0_seed13\attempt-1.log,
V2-3|P2-A3|fold0|seed13,1,success,2026-09-17T15:02:55.050020+00:00,2026-09-17T15:30:15.570935+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2-A3_fold0_seed13\attempt-1.log,
V2-3|P2-A4|fold0|seed13,1,success,2026-09-17T15:30:15.575911+00:00,2026-09-17T15:30:25.788747+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2-A4_fold0_seed13\attempt-1.log,
V2-3|P2|fold1|seed13,1,success,2026-09-17T15:30:25.794923+00:00,2026-09-17T15:50:03.601862+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2_fold1_seed13\attempt-1.log,
V2-3|P2-A1|fold1|seed13,2,success,2026-09-18T04:12:06.560035+00:00,2026-09-18T04:42:38.757420+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2-A1_fold1_seed13\attempt-2.log,
V2-3|P2-A2|fold1|seed13,1,success,2026-09-18T04:42:47.516712+00:00,2026-09-18T05:02:56.223390+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2-A2_fold1_seed13\attempt-1.log,
V2-3|P2-A3|fold1|seed13,1,success,2026-09-18T05:02:56.230011+00:00,2026-09-18T05:32:29.522940+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2-A3_fold1_seed13\attempt-1.log,
V2-3|P2-A4|fold1|seed13,1,success,2026-09-18T05:32:29.529582+00:00,2026-09-18T05:32:40.576097+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2-A4_fold1_seed13\attempt-1.log,
V2-3|P2|fold2|seed13,1,success,2026-09-18T05:32:40.581100+00:00,2026-09-18T05:58:18.157987+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2_fold2_seed13\attempt-1.log,
V2-3|P2-A1|fold2|seed13,1,success,2026-09-18T05:58:18.164065+00:00,2026-09-18T06:25:46.186348+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2-A1_fold2_seed13\attempt-1.log,
V2-3|P2-A2|fold2|seed13,1,success,2026-09-18T06:25:46.193025+00:00,2026-09-18T06:50:05.791789+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2-A2_fold2_seed13\attempt-1.log,
V2-3|P2-A3|fold2|seed13,1,success,2026-09-18T06:50:05.798788+00:00,2026-09-18T07:15:21.750474+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2-A3_fold2_seed13\attempt-1.log,
V2-3|P2-A4|fold2|seed13,1,success,2026-09-18T07:15:21.756108+00:00,2026-09-18T07:15:33.237746+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2-A4_fold2_seed13\attempt-1.log,
V2-3|P2|fold3|seed13,1,success,2026-09-18T07:15:33.244392+00:00,2026-09-18T07:42:13.908521+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2_fold3_seed13\attempt-1.log,
V2-3|P2-A1|fold3|seed13,1,success,2026-09-18T07:42:13.915142+00:00,2026-09-18T08:16:58.116647+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2-A1_fold3_seed13\attempt-1.log,
V2-3|P2-A2|fold3|seed13,2,success,2026-09-18T08:46:34.808712+00:00,2026-09-18T09:13:25.739696+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2-A2_fold3_seed13\attempt-2.log,
V2-3|P2-A3|fold3|seed13,1,success,2026-09-18T09:13:29.668280+00:00,2026-09-18T09:42:28.613556+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2-A3_fold3_seed13\attempt-1.log,
V2-3|P2-A4|fold3|seed13,1,success,2026-09-18T09:42:28.619068+00:00,2026-09-18T09:42:40.697055+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2-A4_fold3_seed13\attempt-1.log,
V2-3|P2|fold4|seed13,1,success,2026-09-18T09:42:40.704563+00:00,2026-09-18T10:01:49.277913+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2_fold4_seed13\attempt-1.log,
V2-3|P2-A1|fold4|seed13,1,success,2026-09-18T10:01:49.285417+00:00,2026-09-18T10:20:34.775706+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2-A1_fold4_seed13\attempt-1.log,
V2-3|P2-A2|fold4|seed13,1,success,2026-09-18T10:20:34.783245+00:00,2026-09-18T10:38:22.922939+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2-A2_fold4_seed13\attempt-1.log,
V2-3|P2-A3|fold4|seed13,1,success,2026-09-18T10:38:22.930505+00:00,2026-09-18T10:59:53.394128+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2-A3_fold4_seed13\attempt-1.log,
V2-3|P2-A4|fold4|seed13,1,success,2026-09-18T10:59:53.401647+00:00,2026-09-18T11:00:03.439264+00:00,0,runs\v2\_phase_v2_3_logs\V2-3_P2-A4_fold4_seed13\attempt-1.log,
