run_key,attempt,status,started_at,finished_at,return_code,log_path,reason
V2-4-EXT|B5|fold2|seed47,1,success,2026-09-19T01:33:41.282304+00:00,2026-09-19T01:36:32.617123+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B5_fold2_seed47\attempt-1.log,
V2-4-EXT|B5|fold3|seed13,1,success,2026-09-19T01:34:22.956447+00:00,2026-09-19T01:36:41.790326+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B5_fold3_seed13\attempt-1.log,
V2-4-EXT|B5|fold3|seed29,1,success,2026-09-19T01:36:32.624197+00:00,2026-09-19T01:38:50.270180+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B5_fold3_seed29\attempt-1.log,
V2-4-EXT|B5|fold3|seed47,1,success,2026-09-19T01:36:41.798414+00:00,2026-09-19T01:39:00.327187+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B5_fold3_seed47\attempt-1.log,
V2-4-EXT|B5|fold4|seed13,1,success,2026-09-19T01:38:50.276764+00:00,2026-09-19T01:39:55.170056+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B5_fold4_seed13\attempt-1.log,
V2-4-EXT|B5|fold4|seed29,1,success,2026-09-19T01:39:00.338218+00:00,2026-09-19T01:40:05.661610+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B5_fold4_seed29\attempt-1.log,
V2-4-EXT|B5|fold4|seed47,1,success,2026-09-19T01:39:55.176631+00:00,2026-09-19T01:41:01.315919+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B5_fold4_seed47\attempt-1.log,
V2-4-EXT|P2|fold0|seed13,1,success,2026-09-19T01:40:05.668173+00:00,2026-09-19T01:42:09.008521+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P2_fold0_seed13\attempt-1.log,
V2-4-EXT|P2|fold0|seed29,1,success,2026-09-19T01:41:01.323430+00:00,2026-09-19T01:43:03.571420+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P2_fold0_seed29\attempt-1.log,
V2-4-EXT|P2|fold0|seed47,1,success,2026-09-19T01:42:09.018538+00:00,2026-09-19T01:44:10.384015+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P2_fold0_seed47\attempt-1.log,
V2-4-EXT|P2|fold1|seed13,1,success,2026-09-19T01:43:03.580928+00:00,2026-09-19T01:45:27.514725+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P2_fold1_seed13\attempt-1.log,
V2-4-EXT|P2|fold1|seed29,1,success,2026-09-19T01:44:10.391580+00:00,2026-09-19T01:46:33.493295+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P2_fold1_seed29\attempt-1.log,
V2-4-EXT|P2|fold1|seed47,1,success,2026-09-19T01:45:27.524297+00:00,2026-09-19T01:47:51.557486+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P2_fold1_seed47\attempt-1.log,
V2-4-EXT|P2|fold2|seed13,1,success,2026-09-19T01:46:33.501802+00:00,2026-09-19T01:50:01.696936+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P2_fold2_seed13\attempt-1.log,
V2-4-EXT|P2|fold2|seed29,1,success,2026-09-19T01:47:51.563988+00:00,2026-09-19T01:51:14.429152+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P2_fold2_seed29\attempt-1.log,
V2-4-EXT|P2|fold2|seed47,1,success,2026-09-19T01:50:01.703999+00:00,2026-09-19T01:53:26.301531+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P2_fold2_seed47\attempt-1.log,
V2-4-EXT|P2|fold3|seed13,1,success,2026-09-19T01:51:14.437730+00:00,2026-09-19T01:53:56.773844+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P2_fold3_seed13\attempt-1.log,
V2-4-EXT|P2|fold3|seed29,1,success,2026-09-19T01:53:26.312038+00:00,2026-09-19T01:56:11.023165+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P2_fold3_seed29\attempt-1.log,
V2-4-EXT|P2|fold3|seed47,1,success,2026-09-19T01:53:56.782912+00:00,2026-09-19T01:56:41.906637+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P2_fold3_seed47\attempt-1.log,
V2-4-EXT|P2|fold4|seed13,1,success,2026-09-19T01:56:11.033278+00:00,2026-09-19T01:57:26.478885+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P2_fold4_seed13\attempt-1.log,
V2-4-EXT|P2|fold4|seed29,1,success,2026-09-19T01:56:41.913636+00:00,2026-09-19T01:57:59.408125+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P2_fold4_seed29\attempt-1.log,
V2-4-EXT|P2|fold4|seed47,1,success,2026-09-19T01:57:26.485388+00:00,2026-09-19T01:58:44.320895+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P2_fold4_seed47\attempt-1.log,
V2-4-EXT|P|fold0|seed13,1,success,2026-09-19T01:57:59.415708+00:00,2026-09-19T02:00:01.168767+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P_fold0_seed13\attempt-1.log,
V2-4-EXT|P|fold0|seed29,1,success,2026-09-19T01:58:44.328771+00:00,2026-09-19T02:00:43.074236+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P_fold0_seed29\attempt-1.log,
V2-4-EXT|P|fold0|seed47,1,success,2026-09-19T02:00:01.180785+00:00,2026-09-19T02:02:02.252721+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P_fold0_seed47\attempt-1.log,
V2-4-EXT|P|fold1|seed13,1,success,2026-09-19T02:00:43.081338+00:00,2026-09-19T02:03:06.424318+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P_fold1_seed13\attempt-1.log,
V2-4-EXT|P|fold1|seed29,1,success,2026-09-19T02:02:02.259228+00:00,2026-09-19T02:04:24.952566+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P_fold1_seed29\attempt-1.log,
V2-4-EXT|P|fold1|seed47,1,success,2026-09-19T02:03:06.432832+00:00,2026-09-19T02:05:29.155271+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P_fold1_seed47\attempt-1.log,
V2-4-EXT|P|fold2|seed13,1,success,2026-09-19T02:04:24.960559+00:00,2026-09-19T02:07:52.661763+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P_fold2_seed13\attempt-1.log,
V2-4-EXT|P|fold2|seed29,1,success,2026-09-19T02:05:29.163270+00:00,2026-09-19T02:08:52.251131+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P_fold2_seed29\attempt-1.log,
V2-4-EXT|P|fold2|seed47,1,success,2026-09-19T02:07:52.671369+00:00,2026-09-19T02:11:14.957818+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P_fold2_seed47\attempt-1.log,
V2-4-EXT|P|fold3|seed13,1,success,2026-09-19T02:08:52.258641+00:00,2026-09-19T02:11:33.829207+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P_fold3_seed13\attempt-1.log,
V2-4-EXT|P|fold3|seed29,1,success,2026-09-19T02:11:14.966320+00:00,2026-09-19T02:13:56.869381+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P_fold3_seed29\attempt-1.log,
V2-4-EXT|P|fold3|seed47,1,success,2026-09-19T02:11:33.836265+00:00,2026-09-19T02:14:15.804543+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P_fold3_seed47\attempt-1.log,
V2-4-EXT|P|fold4|seed13,1,success,2026-09-19T02:13:56.877489+00:00,2026-09-19T02:15:14.144456+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P_fold4_seed13\attempt-1.log,
V2-4-EXT|P|fold4|seed29,1,success,2026-09-19T02:14:15.812550+00:00,2026-09-19T02:15:32.479875+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P_fold4_seed29\attempt-1.log,
V2-4-EXT|P|fold4|seed47,1,success,2026-09-19T02:15:14.153028+00:00,2026-09-19T02:16:22.144860+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_P_fold4_seed47\attempt-1.log,
