repeat,p2_macro_f1_seed_then_fold_mean,p_macro_f1_seed_then_fold_mean,delta_p2_minus_p
0,0.574516134218,0.576021168656,-0.00150503443823
1,0.574379676642,0.574376427317,3.24932541735e-06
2,0.565872924476,0.565236770169,0.000636154307457
3,0.591870084298,0.590748614575,0.00112146972246
4,0.559919829169,0.5596065558,0.000313273368995
5,0.589764302807,0.590184088128,-0.000419785320978
6,0.591963982229,0.590864690923,0.00109929130656
7,0.573177115538,0.570373528194,0.00280358734415
8,0.55648276723,0.553330283025,0.00315248420447
9,0.573384549142,0.57360472353,-0.000220174388086
10,0.574712442079,0.577298082291,-0.00258564021174
11,0.562807841587,0.561999089751,0.000808751835488
12,0.582570593259,0.581176692968,0.00139390029079
13,0.573807328689,0.572555002278,0.00125232641014
14,0.550346990835,0.549337698431,0.00100929240361
15,0.581857377497,0.579471983492,0.00238539400568
16,0.588912478667,0.586743158866,0.00216931980097
17,0.558269890411,0.559773275986,-0.00150338557482
18,0.568580416393,0.56735438957,0.00122602682331
19,0.569608436425,0.570395743238,-0.000787306812777
20,0.57954445771,0.578100555597,0.00144390211272
21,0.579108740192,0.57616690919,0.00294183100247
22,0.57834706677,0.576854316038,0.00149275073232
23,0.550493414105,0.552091144706,-0.00159773060133
24,0.590951038258,0.589864407992,0.00108663026554
25,0.553438738648,0.553340924056,9.78145919149e-05
26,0.559744638986,0.557397841962,0.0023467970233
27,0.593403414008,0.592393135943,0.0010102780653
28,0.597532588115,0.59746026677,7.23213450047e-05
29,0.575074245826,0.57524319429,-0.000168948464179
30,0.589643689245,0.590246409399,-0.000602720153438
31,0.572702248419,0.571323731309,0.00137851710961
32,0.555585236076,0.5540782173,0.00150701877529
33,0.585810644026,0.587977232192,-0.00216658816614
34,0.573848705255,0.572918072292,0.000930632962694
35,0.56745106676,0.567095288691,0.000355778068689
36,0.577178084611,0.57577430541,0.00140377920094
37,0.557980208219,0.554829370946,0.00315083727304
38,0.572012145498,0.572759364681,-0.000747219183148
39,0.580447208643,0.579441322433,0.00100588621039
40,0.568727019688,0.567177438628,0.00154958105919
41,0.54879567015,0.547741672155,0.00105399799472
42,0.576995623712,0.576176619486,0.000819004225632
43,0.564424769043,0.564494826396,-7.00573530687e-05
44,0.551065276188,0.550230480224,0.000834795963902
45,0.593865334736,0.590549747995,0.00331558674173
46,0.578864662044,0.576822869156,0.00204179288852
47,0.588149394875,0.589460635328,-0.00131124045323
48,0.557866658456,0.557081289081,0.000785369375669
49,0.548880847884,0.546068981923,0.00281186596052
50,0.575800934412,0.576107988863,-0.000307054450256
51,0.565606919225,0.56358063039,0.00202628883437
52,0.569135314072,0.568004647715,0.00113066635665
53,0.598726765965,0.597070916048,0.00165584991754
54,0.554007011563,0.554619385582,-0.000612374019762
55,0.578064485884,0.578337005289,-0.000272519404402
56,0.550898878717,0.547363878118,0.00353500059858
57,0.563609686134,0.560730031701,0.0028796544333
58,0.5815446156,0.580947757215,0.000596858385148
59,0.559447190382,0.558446015309,0.00100117507343
60,0.578318493805,0.575914759716,0.00240373408965
61,0.576988515853,0.575837279689,0.00115123616439
62,0.575985112083,0.578213467217,-0.00222835513411
63,0.568659701915,0.56732817837,0.00133152354474
64,0.549648300412,0.547091462887,0.0025568375245
65,0.581574045599,0.578271623566,0.00330242203298
66,0.567977618443,0.566123425848,0.00185419259569
67,0.586591413353,0.584748335795,0.00184307755873
68,0.546051961959,0.543110188771,0.00294177318723
69,0.597069123461,0.593999479427,0.00306964403367
70,0.569178327913,0.56767364096,0.00150468695322
71,0.57223686874,0.570999940939,0.00123692780084
72,0.589064107099,0.589126834178,-6.2727079012e-05
73,0.55450073556,0.552402579453,0.00209815610624
74,0.569554361291,0.568868465154,0.000685896136913
75,0.584791199916,0.580446543537,0.00434465637927
76,0.559041958461,0.557237134121,0.00180482433992
77,0.55670117788,0.553252190378,0.00344898750222
78,0.568387830889,0.568195786229,0.000192044659726
79,0.568689751987,0.568096820057,0.000592931930036
80,0.57572292893,0.574362854721,0.00136007420913
81,0.5693814257,0.569955747223,-0.000574321523597
82,0.589834016139,0.59019207119,-0.000358055050467
83,0.554358992511,0.550811611007,0.00354738150334
84,0.566771576364,0.566114249932,0.000657326431866
85,0.584806861007,0.58238431362,0.00242254738693
86,0.567568726785,0.564878288836,0.00269043794869
87,0.567440541421,0.566500660428,0.000939880992569
88,0.590597778367,0.589632476377,0.000965301990796
