variant,fold_count,val_macro_f1_mean,val_macro_f1_std,test_forced_macro_f1_mean,test_forced_macro_f1_std,test_forced_micro_f1_mean,test_forced_micro_f1_std,test_forced_map_mean,test_forced_map_std,test_coverage_mean,test_coverage_std,test_selective_macro_f1_mean,test_selective_macro_f1_std
P2,5,0.596940486744,0.0279128326318,0.581311117528,0.0216592286923,0.698617429179,0.0111242050286,0.580162011939,0.0240321279433,0.879375357452,0.0595666379125,0.581544017598,0.0218186390123
P2-A1,5,0.595265257647,0.0264478093206,0.579168490158,0.0223442091088,0.69683849679,0.0194693176919,0.577820043262,0.0238470683723,0.892804176078,0.0732983651043,0.584433655218,0.0199658906556
P2-A2,5,0.59571320321,0.0282116816332,0.58033089833,0.0243333331419,0.699936138996,0.0107455235398,0.577649275561,0.0262766654399,0.878543106896,0.0605690572324,0.581421307917,0.0246494905691
P2-A3,5,0.593630105346,0.0253435048661,0.579808339078,0.0216742340706,0.697731839718,0.0179316449625,0.579572482652,0.0207607624688,0.899015894477,0.020055775936,0.582797515107,0.0227841419558
P2-A4,5,0.596940486744,0.0279128326318,0.581311117528,0.0216592286923,0.698617429179,0.0111242050286,0.580162011939,0.0240321279433,NaN,NaN,NaN,NaN
