model_id,fold,scenario_id,fault,target_modality,fault_length,phase,macro_f1,micro_f1,masked_bce,seed_count
B4,0,persistent.drop.watch_acc,drop,watch_acc,30,post,0.588928536063,0.799966827554,0.304315070642,3
B4,0,persistent.drop.watch_acc,drop,watch_acc,30,pre,0.576682939595,0.791446456787,0.316900010338,3
B4,0,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,5,fault,0.534513901654,0.707810481184,0.411862522444,3
B4,0,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,5,post,0.565739339968,0.743809260532,0.368684114016,3
B4,0,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,5,pre,0.573845489271,0.745770563754,0.368588161887,3
B4,0,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,15,fault,0.548075526112,0.726158737549,0.381362445061,3
B4,0,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,15,post,0.57287564873,0.765993524624,0.342439074176,3
B4,0,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,15,pre,0.588492408188,0.773145895668,0.325344866864,3
B4,0,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,30,fault,0.529654125989,0.747908299334,0.362052752661,3
B4,0,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,30,post,0.588928536063,0.799966827554,0.304315070642,3
B4,0,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,30,pre,0.576682939595,0.791446456787,0.316900010338,3
B4,0,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,5,fault,0.539519975406,0.71977340346,0.432294495059,3
B4,0,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,5,post,0.565739339968,0.743809260532,0.368684114016,3
B4,0,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,5,pre,0.573845489271,0.745770563754,0.368588161887,3
B4,0,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,15,fault,0.551197621454,0.739355273603,0.404112478724,3
B4,0,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,15,post,0.57287564873,0.765993524624,0.342439074176,3
B4,0,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,15,pre,0.588492408188,0.773145895668,0.325344866864,3
B4,0,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,30,fault,0.531821142429,0.759185339352,0.389843934995,3
B4,0,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,30,post,0.588928536063,0.799966827554,0.304315070642,3
B4,0,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,30,pre,0.576682939595,0.791446456787,0.316900010338,3
B4,0,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,5,fault,0.565515149832,0.737715594807,0.36899913298,3
B4,0,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,5,post,0.565739339968,0.743809260532,0.368684114016,3
B4,0,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,5,pre,0.573845489271,0.745770563754,0.368588161887,3
B4,0,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,15,fault,0.576688983455,0.758623329013,0.345047266773,3
