model_id,fold,seed_count,macro_f1_seed_mean,macro_f1_seed_std
B4,0,3,0.553719306959,0.00793048713043
B4,1,3,0.584580710882,0.00571184285944
B4,2,3,0.573424692204,0.00718631895982
B4,3,3,0.522454126294,0.0053983089243
B4,4,3,0.591495398298,0.00711895497797
B5,0,3,0.581828603818,0.00188741171563
B5,1,3,0.589589419453,0.00463536700521
B5,2,3,0.586856754621,0.00382468879499
B5,3,3,0.536426941067,0.00484174242599
B5,4,3,0.598322664493,0.00559161966758
P,0,3,0.576794984355,0.00339320388887
P,1,3,0.591342699086,0.00372006580621
P,2,3,0.584797915081,0.00443879978378
P,3,3,0.533267611799,0.0051317127517
P,4,3,0.59718809343,0.0032556998457
P2,0,3,0.578556509015,0.00746014787748
P2,1,3,0.591786243086,0.00324774543414
P2,2,3,0.5808665461,0.00330223282478
P2,3,3,0.536749491414,0.0166623605906
P2,4,3,0.600461692605,0.00247849619363
