model_id,scenario_id,available_count,available_modalities,drop_modalities,macro_f1,micro_f1,mean_average_precision,brier_score,macro_f1_fold_std,micro_f1_fold_std,mean_average_precision_fold_std,brier_score_fold_std,fold_count,seed_count_per_fold
B4,mask.111001,4,phone_acc|phone_gyro|watch_acc|phone_state,location|audio,0.543972309204,0.655702720201,0.56111489301,0.148955895821,0.0385030137791,0.0209119974522,0.0383876315547,0.011255401718,5,3
B4,mask.111010,4,phone_acc|phone_gyro|watch_acc|audio,location|phone_state,0.519755402107,0.64443433358,0.539499999949,0.14201897158,0.0289416692989,0.0343604689581,0.0415880905767,0.00816226040273,5,3
B4,mask.111011,5,phone_acc|phone_gyro|watch_acc|audio|phone_state,location,0.571915664882,0.683291720772,0.587093933605,0.134568392379,0.0317053824568,0.0242927482819,0.0411866195616,0.00615571306765,5,3
B4,mask.111100,4,phone_acc|phone_gyro|watch_acc|location,audio|phone_state,0.506509098396,0.610556816179,0.523933097171,0.15832698107,0.0403681301152,0.030686602148,0.0435433732113,0.010924097915,5,3
B4,mask.111101,5,phone_acc|phone_gyro|watch_acc|location|phone_state,audio,0.576210934133,0.676004105015,0.583198522339,0.13847394801,0.0399933493589,0.0238380493923,0.0332811154496,0.00782565752051,5,3
B4,mask.111110,5,phone_acc|phone_gyro|watch_acc|location|audio,phone_state,0.558718925144,0.659466763365,0.569026846092,0.136452968082,0.0323258251199,0.0262971699861,0.0348382479097,0.00688594145448,5,3
B4,mask.111111,6,phone_acc|phone_gyro|watch_acc|location|audio|phone_state,,0.597008462915,0.69867891233,0.60502744583,0.12791101725,0.0310707926029,0.025065143475,0.0307599183056,0.00597454388421,5,3
B5,mask.000001,1,phone_state,phone_acc|phone_gyro|watch_acc|location|audio,0.427189593897,0.607214677602,0.422830168325,0.174953729186,0.0199409775596,0.0296604209585,0.0173232918245,0.00669094980891,5,3
B5,mask.000010,1,audio,phone_acc|phone_gyro|watch_acc|location|phone_state,0.405448078601,0.589396591348,0.402450701875,0.168065937722,0.0338823010237,0.0276546745017,0.0316170503462,0.00565371740959,5,3
B5,mask.000011,2,audio|phone_state,phone_acc|phone_gyro|watch_acc|location,0.474529185845,0.650823879737,0.479253176463,0.147044062714,0.018551600341,0.0325792391427,0.0310063130804,0.0058396823815,5,3
B5,mask.000100,1,location,phone_acc|phone_gyro|watch_acc|audio|phone_state,0.377252547626,0.523390001442,0.370848033427,0.19488372242,0.0218510424282,0.0239650729497,0.0338839747467,0.00758092690709,5,3
B5,mask.000101,2,location|phone_state,phone_acc|phone_gyro|watch_acc|audio,0.475724976632,0.633919555965,0.467406455938,0.158797203301,0.0269503009066,0.0300800915836,0.0324056099868,0.0106324398829,5,3
