phase,model_id,fold,seed,scenario,protocol_sha256,source_prediction_sha256,run_id,score_method,valid_count,error_count,error_prevalence,error_detection_auroc,error_detection_auprc,normalized_aurc,confidence_mean,confidence_std,confidence_min,confidence_max,actual_coverage_0_80,risk_masked_bce_0_80,macro_f1_0_80,micro_f1_0_80,actual_coverage_0_90,risk_masked_bce_0_90,macro_f1_0_90,micro_f1_0_90,actual_coverage_0_95,risk_masked_bce_0_95,macro_f1_0_95,micro_f1_0_95,actual_coverage_1_00,risk_masked_bce_1_00,macro_f1_1_00,micro_f1_1_00
V3-1,B4,3,47,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,b442f1fa58938f7ca3ac91b31a74bcaee105dd529c81141d403b323dd1c2935b,extrasensory-gated-fold3-seed47-full,mean_binary_certainty,86408,64627,0.7479284325525414,0.794591063848668,0.9014432866856792,0.38497863336654875,0.622698698474974,0.2093821922993953,0.04620784269915468,0.9995292877208645,0.8000069438014998,0.42117883062866823,0.5641321022698861,0.7230069872541657,0.9000092584019999,0.43256230133810103,0.5475309470425219,0.7023101749617802,0.9500046292009999,0.43935424605607587,0.5388508802006313,0.6920869703079956,1.0,0.4488955697696807,0.5279508926289215,0.6805572293295954
V3-1,B4,3,47,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,b442f1fa58938f7ca3ac91b31a74bcaee105dd529c81141d403b323dd1c2935b,extrasensory-gated-fold3-seed47-full,mean_normalized_threshold_margin,86408,64627,0.7479284325525414,0.7907070321845564,0.8944983723819095,0.3877567668792539,0.7578176264557431,0.150669215455321,0.21081998456178133,0.9997808909240745,0.8000069438014998,0.42175409985381007,0.5690421449332825,0.7267720545384861,0.9000092584019999,0.4355555350764767,0.5479121550741978,0.703697639386596,0.9500046292009999,0.4414906231899702,0.5390628827407146,0.6924900027961103,1.0,0.4488955697696807,0.5279508926289215,0.6805572293295954
V3-1,B5,3,47,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,3993d353cf08bfdbac0256c7b4dcc739418954d0b1dcc156e87f3e92d86c230c,extrasensory-robust-gated-fold3-seed47-full,mean_binary_certainty,86408,59204,0.6851680399962966,0.7732104034884166,0.8564629612427195,0.3397281194775241,0.5096790063725778,0.2284502719276982,0.025495559274048674,0.993299619248035,0.8000069438014998,0.41116822095983857,0.57465954138319,0.7523191144854625,0.9000092584019999,0.42660413366615507,0.5598219406355223,0.7328901916396324,0.9500046292009999,0.4344885602045266,0.5513236975676443,0.7231530951914739,1.0,0.44380943012385926,0.5409418419792242,0.7122800853083309
V3-1,B5,3,47,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,3993d353cf08bfdbac0256c7b4dcc739418954d0b1dcc156e87f3e92d86c230c,extrasensory-robust-gated-fold3-seed47-full,mean_normalized_threshold_margin,86408,59204,0.6851680399962966,0.7604093168555903,0.8365253837284887,0.3426338782063515,0.6969378987828785,0.1687710967203001,0.1987545594130171,0.9989164235130462,0.8000069438014998,0.4103200130013655,0.587787109098692,0.7562444264234005,0.9000092584019999,0.4259845849642282,0.5643539579261461,0.7342149330779757,0.9500046292009999,0.4343106780816733,0.5530772147774575,0.7235696784109006,1.0,0.44380943012385937,0.5409418419792242,0.7122800853083309
V3-1,P,3,47,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,b599bd6ad228cd3001481e2f1f7415546aac6e05b2335bde089a61df265d1e76,extrasensory-quality-aware-fold3-seed47-full,mean_binary_certainty,86408,62755,0.7262637718729748,0.7565991088662826,0.8660764677789653,0.3324550023458672,0.5199315447798425,0.21767587797258436,0.02926309623032064,0.9909865744948456,0.8000069438014998,0.4049137688549508,0.5715207993596234,0.7211641446007996,0.9000092584019999,0.4198568045156813,0.5534446558029434,0.7021584652607114,0.9500046292009999,0.42728570687280376,0.5438061370457631,0.6930589000165367,1.0,0.43627189842183284,0.5331755753795883,0.6837095610940044
V3-1,P,3,47,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,b599bd6ad228cd3001481e2f1f7415546aac6e05b2335bde089a61df265d1e76,extrasensory-quality-aware-fold3-seed47-full,mean_normalized_threshold_margin,86408,62755,0.7262637718729748,0.7487321562717386,0.8575975210096234,0.331177704043602,0.7015110280070691,0.16242206256133243,0.20284536456947652,0.9984689042740071,0.8000069438014998,0.40144422953219994,0.5849982128494958,0.7251854719560081,0.9000092584019999,0.41823126921919573,0.5582711005066211,0.7041285979253967,0.9500046292009999,0.42638908712374923,0.5463032354127828,0.6944127141792898,1.0,0.43627189842183284,0.5331755753795883,0.6837095610940044
V3-1,P2,3,47,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,fddf27fbe61a255d005bf7833cc7779aea0b14df027e31641f7a0b8e0de887ca,extrasensory-p2-fold3-seed47-v2_multiseed,mean_binary_certainty,86408,57829,0.6692551615591149,0.7513910744344962,0.8296162326609857,0.3749839946162068,0.5025161035274089,0.22543321534737656,0.024745733640624823,0.9910072554794358,0.8000069438014998,0.4294980238857495,0.5821611565799469,0.7580978865406006,0.9000092584019999,0.44510857562480693,0.5670584409000708,0.7398877545137574,0.9500046292009999,0.45270788651946203,0.5572571740105959,0.7308408578552662,1.0,0.46120805256650255,0.5465091951413192,0.7210616321225802
V3-1,P2,3,47,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,fddf27fbe61a255d005bf7833cc7779aea0b14df027e31641f7a0b8e0de887ca,extrasensory-p2-fold3-seed47-v2_multiseed,mean_normalized_threshold_margin,86408,57829,0.6692551615591149,0.7418505753793986,0.8120990648770242,0.3774492024118701,0.6918237179665456,0.1704366441387545,0.196884839304978,0.9985966098663738,0.8000069438014998,0.43089470460442114,0.5933397932208648,0.7613673513679833,0.9000092584019999,0.44498867215033083,0.5715077643376738,0.7416446544390293,0.9500046292009999,0.4525403739055204,0.5596712892091752,0.7317400574414142,1.0,0.46120805256650244,0.5465091951413192,0.7210616321225802
V3-1,P2,3,47,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,fddf27fbe61a255d005bf7833cc7779aea0b14df027e31641f7a0b8e0de887ca,extrasensory-p2-fold3-seed47-v2_multiseed,p2_system_reliability,86408,57829,0.6692551615591149,0.5441797327381142,0.6890390233564161,0.4399056492065889,0.9866262922199189,0.01090969877265964,0.8412141799926758,0.9993025660514832,0.8000069438014998,0.46933459706753156,0.5434336853317615,0.7146824231392174,0.9000092584019999,0.46517690942183026,0.5461760561823262,0.7214361999694858,0.9500046292009999,0.46328084016617,0.5472878395964141,0.7222874392084522,1.0,0.46120805256650255,0.5465091951413192,0.7210616321225802
