phase,model_id,fold,seed,scenario,protocol_sha256,source_prediction_sha256,run_id,requested_coverage,coverage,accepted_count,risk_masked_bce,macro_f1,micro_f1,known_target_count,score_method,confidence_cutoff
V3-1,B4,1,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,32515811a9626aabab78e96992fa0df72dc8098e68baea75892416dd6a500cdf,extrasensory-gated-fold1-seed13-credible,0.05,0.050012115990414906,3715,0.5160307350876098,0.3469153649457601,0.8745572111329772,34852,mean_binary_certainty,0.9649916733461018
V3-1,B4,1,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,32515811a9626aabab78e96992fa0df72dc8098e68baea75892416dd6a500cdf,extrasensory-gated-fold1-seed13-credible,0.1,0.1000107697692577,7429,0.4133468844518767,0.42436141800470123,0.8936955816680389,73961,mean_binary_certainty,0.9391160894299868
V3-1,B4,1,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,32515811a9626aabab78e96992fa0df72dc8098e68baea75892416dd6a500cdf,extrasensory-gated-fold1-seed13-credible,0.15,0.15000942354810048,11143,0.3687600321197473,0.49703566040806335,0.9073341424585849,114497,mean_binary_certainty,0.9113423051942108
V3-1,B4,1,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,32515811a9626aabab78e96992fa0df72dc8098e68baea75892416dd6a500cdf,extrasensory-gated-fold1-seed13-credible,0.2,0.20000807732694326,14857,0.3635777328231348,0.5048143507591768,0.8977041937361189,153109,mean_binary_certainty,0.8586077800614348
V3-1,B4,1,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,32515811a9626aabab78e96992fa0df72dc8098e68baea75892416dd6a500cdf,extrasensory-gated-fold1-seed13-credible,0.25,0.2500067311057861,18571,0.3580411729479818,0.5811112601248117,0.8799867313189654,189657,mean_binary_certainty,0.8059678838185754
V3-1,B4,1,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,32515811a9626aabab78e96992fa0df72dc8098e68baea75892416dd6a500cdf,extrasensory-gated-fold1-seed13-credible,0.3,0.30000538488462886,22285,0.36317525548473995,0.6424095474718589,0.8619129972063323,225256,mean_binary_certainty,0.7569011181830033
V3-1,B4,1,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,32515811a9626aabab78e96992fa0df72dc8098e68baea75892416dd6a500cdf,extrasensory-gated-fold1-seed13-credible,0.35,0.35000403866347163,25999,0.3720680239868766,0.6597055931373956,0.8441411350536362,262789,mean_binary_certainty,0.7147599868519574
V3-1,B4,1,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,32515811a9626aabab78e96992fa0df72dc8098e68baea75892416dd6a500cdf,extrasensory-gated-fold1-seed13-credible,0.4,0.4000026924423144,29713,0.37953427881697793,0.6617495233488859,0.8264877390440784,300787,mean_binary_certainty,0.6774840623029612
V3-1,B4,1,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,32515811a9626aabab78e96992fa0df72dc8098e68baea75892416dd6a500cdf,extrasensory-gated-fold1-seed13-credible,0.45,0.45000134622115723,33427,0.3885352140994292,0.6613598897022374,0.8086696902705289,339117,mean_binary_certainty,0.6452670510417261
V3-1,B4,1,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,32515811a9626aabab78e96992fa0df72dc8098e68baea75892416dd6a500cdf,extrasensory-gated-fold1-seed13-credible,0.5,0.5,37141,0.39529703030165003,0.6572071629229906,0.7938435528431818,377192,mean_binary_certainty,0.6160851073313038
V3-1,B4,1,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,32515811a9626aabab78e96992fa0df72dc8098e68baea75892416dd6a500cdf,extrasensory-gated-fold1-seed13-credible,0.55,0.5500121159904149,40856,0.4003057307898652,0.6531404125945361,0.7811239972711661,415441,mean_binary_certainty,0.5905469853967916
V3-1,B4,1,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,32515811a9626aabab78e96992fa0df72dc8098e68baea75892416dd6a500cdf,extrasensory-gated-fold1-seed13-credible,0.6,0.6000107697692577,44570,0.40562056777147515,0.648916398603432,0.7694431701131318,453536,mean_binary_certainty,0.5650996397207193
V3-1,B4,1,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,32515811a9626aabab78e96992fa0df72dc8098e68baea75892416dd6a500cdf,extrasensory-gated-fold1-seed13-credible,0.65,0.6500094235481004,48284,0.41142605722693126,0.6433332490888016,0.758321911494778,491505,mean_binary_certainty,0.5395141117952043
V3-1,B4,1,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,32515811a9626aabab78e96992fa0df72dc8098e68baea75892416dd6a500cdf,extrasensory-gated-fold1-seed13-credible,0.7,0.7000080773269433,51998,0.4163305496527749,0.6374100740475366,0.7477969040803055,529198,mean_binary_certainty,0.5137586591285982
V3-1,B4,1,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,32515811a9626aabab78e96992fa0df72dc8098e68baea75892416dd6a500cdf,extrasensory-gated-fold1-seed13-credible,0.75,0.7500067311057861,55712,0.4213993666852646,0.6319772346927675,0.7381830254949586,566755,mean_binary_certainty,0.4870073363376435
V3-1,B4,1,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,32515811a9626aabab78e96992fa0df72dc8098e68baea75892416dd6a500cdf,extrasensory-gated-fold1-seed13-credible,0.8,0.8000053848846288,59426,0.4268477931846309,0.6256228382698755,0.7289098376507377,604603,mean_binary_certainty,0.4576304013996094
V3-1,B4,1,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,32515811a9626aabab78e96992fa0df72dc8098e68baea75892416dd6a500cdf,extrasensory-gated-fold1-seed13-credible,0.85,0.8500040386634716,63140,0.43337865081923105,0.6173463863831244,0.7192485196527268,642886,mean_binary_certainty,0.4216528904404151
