phase,model_id,fold,seed,scenario,protocol_sha256,selected_family,source_prediction_sha256,run_id,requested_coverage,coverage,accepted_count,risk_masked_bce,macro_f1,micro_f1,known_target_count,score_method,confidence_cutoff
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.7,0.7,35707,0.3900124126495722,0.6598211374599502,0.7557794809538944,354508,mean_binary_certainty,0.36743987331873373
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.75,0.7500098019996079,38258,0.3987868208181073,0.6504771963081197,0.7470434829410066,378975,mean_binary_certainty,0.3426424856827792
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.8,0.8,40808,0.4076467000030888,0.6418791636624225,0.7379098256728034,403330,mean_binary_certainty,0.31764300884355035
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.85,0.850009801999608,43359,0.416489083348447,0.6330798940121098,0.7285040249082076,427936,mean_binary_certainty,0.28840987343722746
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.9,0.9,45909,0.4259420514016705,0.6244447053022004,0.7195409611229763,452681,mean_binary_certainty,0.2539112233524551
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.95,0.9500098019996079,48460,0.435465864429254,0.6137858967136226,0.7093448815561858,478043,mean_binary_certainty,0.20726653633762926
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,1.0,1.0,51010,0.4453039070601362,0.601285630296833,0.6988239583604617,504726,mean_binary_certainty,0.04917345630608061
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.05,0.05000980199960792,2551,0.37258115215828863,0.5014722787405324,0.7647326162702621,25919,p2_system_reliability,0.9944870471954346
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.1,0.1,5101,0.39525689873121256,0.5571914075858666,0.7437217041365166,49874,p2_system_reliability,0.9933100938796997
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.15,0.15000980199960792,7652,0.41081885972682364,0.5740582460687623,0.7362184441009789,74493,p2_system_reliability,0.9923204183578491
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.2,0.2,10202,0.4264165214241551,0.5881763227941722,0.726559359987751,99904,p2_system_reliability,0.9914463758468628
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.25,0.25000980199960793,12753,0.4321705849779497,0.594148749526255,0.7185238233098173,125601,p2_system_reliability,0.9905366897583008
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.3,0.3,15303,0.4346903221819893,0.6004682899494631,0.7141086604613517,151364,p2_system_reliability,0.9895347356796265
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.35,0.3500098019996079,17854,0.4367491392433622,0.6074434825185108,0.7099942418217572,176260,p2_system_reliability,0.9884013533592224
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.4,0.4,20404,0.43606251342985974,0.6085791128798694,0.7072879559150773,200523,p2_system_reliability,0.9870999455451965
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.45,0.45000980199960794,22955,0.43447039561818773,0.616441753548317,0.7073205908053584,225683,p2_system_reliability,0.9855678677558899
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.5,0.5,25505,0.4376999567148685,0.6175700428134826,0.7038665331182286,250358,p2_system_reliability,0.9835795760154724
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.55,0.5500098019996079,28056,0.4410072938467654,0.6166606482218626,0.6997524821314348,275308,p2_system_reliability,0.9811811447143555
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.6,0.6,30606,0.44493054602493376,0.6155764767443862,0.6952244678948309,299948,p2_system_reliability,0.9784492254257202
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.65,0.6500098019996079,33157,0.44867304998317836,0.6097969757469106,0.6918471727909115,324656,p2_system_reliability,0.9754230976104736
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.7,0.7,35707,0.4495030278469928,0.6069187254434968,0.6908254430290047,349541,p2_system_reliability,0.9723209142684937
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.75,0.7500098019996079,38258,0.448926184619955,0.6046995442075176,0.6923321795811122,374953,p2_system_reliability,0.9688522815704346
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.8,0.8,40808,0.44962342482874046,0.6014567970596068,0.6932057002346105,401132,p2_system_reliability,0.9649123549461365
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.85,0.850009801999608,43359,0.4491287822437952,0.5997132901146179,0.6950579911649273,426777,p2_system_reliability,0.9604609608650208
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.9,0.9,45909,0.4495919826753438,0.5969363530035261,0.6951550203064388,452627,p2_system_reliability,0.9546124935150146
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.95,0.9500098019996079,48460,0.44926510768018385,0.5970869232477564,0.6959509432928571,478821,p2_system_reliability,0.9441665410995483
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,1.0,1.0,51010,0.44530390706013606,0.601285630296833,0.6988239583604617,504726,p2_system_reliability,0.8427388072013855
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.05,0.05000980199960792,2551,0.2355043822586621,0.3744496262295089,0.8769377209681806,25875,grouped_risk_output_compact,0.46342629839059374
