phase,model_id,fold,seed,scenario,protocol_sha256,source_prediction_sha256,run_id,score_method,valid_count,error_count,error_prevalence,error_detection_auroc,error_detection_auprc,normalized_aurc,confidence_mean,confidence_std,confidence_min,confidence_max,actual_coverage_0_80,risk_masked_bce_0_80,macro_f1_0_80,micro_f1_0_80,actual_coverage_0_90,risk_masked_bce_0_90,macro_f1_0_90,micro_f1_0_90,actual_coverage_0_95,risk_masked_bce_0_95,macro_f1_0_95,micro_f1_0_95,actual_coverage_1_00,risk_masked_bce_1_00,macro_f1_1_00,micro_f1_1_00
V3-1,B4,4,47,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,8166cfbd3853cd6f35861f2c3a356cfe33be955e2871a61569aa74223e04a1c6,extrasensory-gated-fold4-seed47-full,mean_binary_certainty,51010,37627,0.7376396784944128,0.7064731838130778,0.8682762911040492,0.3682063255901222,0.5098586377645515,0.20830229964873692,0.05800765413271847,0.9849795820538623,0.8,0.42291296159650726,0.6386286293478883,0.72400073006023,0.9,0.4415541164007648,0.6141424068518487,0.7023982721030217,0.9500098019996079,0.4507276647152254,0.6005069724440991,0.6920232841769935,1.0,0.46063543610052876,0.5873510908652485,0.6816184567746437
V3-1,B4,4,47,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,8166cfbd3853cd6f35861f2c3a356cfe33be955e2871a61569aa74223e04a1c6,extrasensory-gated-fold4-seed47-full,mean_normalized_threshold_margin,51010,37627,0.7376396784944128,0.695192059722377,0.8540852164885835,0.37085012735560513,0.6942842606845958,0.15725678119456943,0.23622441744642733,0.9974007430361526,0.8,0.4282477553278931,0.651794404240384,0.725815258743387,0.9,0.4425819733621741,0.6224633455698143,0.7051627642728493,0.9500098019996079,0.4499490694533337,0.6074246439177914,0.6943530764807361,1.0,0.46063543610052876,0.5873510908652485,0.6816184567746437
V3-1,B5,4,47,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,c08a8d17300394c2ee12ebf143acf47339aa51e0157160f396c2f2e49c11fd35,extrasensory-robust-gated-fold4-seed47-full,mean_binary_certainty,51010,36203,0.7097235836110567,0.6846417748655513,0.8280032426061797,0.34121672593627067,0.4781947999077763,0.22110700518684115,0.026887597844146627,0.9717403333461545,0.8,0.4076232384371237,0.6461088006045805,0.7329404108609063,0.9,0.4258223606659268,0.6239478849327129,0.7128710408834099,0.9500098019996079,0.4347850355792526,0.6106896042820431,0.7028173995048921,1.0,0.443958979709395,0.5987954589248267,0.6934995600757564
V3-1,B5,4,47,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,c08a8d17300394c2ee12ebf143acf47339aa51e0157160f396c2f2e49c11fd35,extrasensory-robust-gated-fold4-seed47-full,mean_normalized_threshold_margin,51010,36203,0.7097235836110567,0.6798254007751899,0.8211327535009617,0.34563696580200615,0.6788136974263175,0.1611561667069688,0.27730267040893025,0.9926663500563024,0.8,0.4107766004593827,0.6581387398787565,0.7352420253072105,0.9,0.4256010873160119,0.630902369070525,0.7152193980153628,0.9500098019996079,0.43398559323691754,0.6151894138490471,0.7047665350579693,1.0,0.44395897970939496,0.5987954589248267,0.6934995600757564
V3-1,P,4,47,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,8787f894c1be1217318ae880c16887ae0ff9ada91722dc741fc0bb393257d9ce,extrasensory-quality-aware-fold4-seed47-full,mean_binary_certainty,51010,38005,0.7450499901980004,0.7083684278171982,0.8655446001117622,0.3502683684577416,0.4661991259140206,0.22116731214103252,0.02839019960031064,0.9763557652873095,0.8,0.41732639594779625,0.6458264048129994,0.7245905647647983,0.9,0.43628841879305263,0.6223779273749284,0.7039572279152659,0.9500098019996079,0.4460216561525875,0.6102634526999201,0.6932109866125636,1.0,0.45594518460682293,0.5968868318552956,0.6830153346182012
V3-1,P,4,47,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,8787f894c1be1217318ae880c16887ae0ff9ada91722dc741fc0bb393257d9ce,extrasensory-quality-aware-fold4-seed47-full,mean_normalized_threshold_margin,51010,38005,0.7450499901980004,0.6978299552948399,0.8527375029960298,0.3565922698273454,0.6697894449821804,0.16491033365970617,0.22519361423102116,0.9945111772350504,0.8,0.4215554220788262,0.6629330207640687,0.7268267838953519,0.9,0.4369265812586191,0.6316376630724643,0.7055922046834765,0.9500098019996079,0.4454526031949678,0.6140644208444108,0.6948523491476816,1.0,0.45594518460682293,0.5968868318552956,0.6830153346182012
V3-1,P2,4,47,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,36acd56b56e9691b25833311a6dba037d1103629d12b6c53e97c0f66da24fd24,extrasensory-p2-fold4-seed47-v2_multiseed,mean_binary_certainty,51010,36471,0.7149774554009017,0.67515358819037,0.8252004551609976,0.3407588448551378,0.4599861166237542,0.22594498515396863,0.03903260116170093,0.9767287300934329,0.8,0.4134483585387355,0.641609198330482,0.736763340847525,0.9,0.4320628824458843,0.6211940743864898,0.7185586534296948,0.9500098019996079,0.44141092966191997,0.6099401724284513,0.709374924473733,1.0,0.4503193512823913,0.5976761634819686,0.6998710940936614
V3-1,P2,4,47,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,36acd56b56e9691b25833311a6dba037d1103629d12b6c53e97c0f66da24fd24,extrasensory-p2-fold4-seed47-v2_multiseed,mean_normalized_threshold_margin,51010,36471,0.7149774554009017,0.666051406223332,0.8151454549073367,0.3457573889607822,0.6691562400698895,0.1656183768382971,0.2546285201326793,0.9942900861254074,0.8,0.41735873655438327,0.6547342417504011,0.7415554541475362,0.9,0.4313122871081039,0.630427368233627,0.7224535425763041,0.9500098019996079,0.44021160427067013,0.614300788664903,0.7119049722514477,1.0,0.45031935128239126,0.5976761634819686,0.6998710940936614
V3-1,P2,4,47,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,36acd56b56e9691b25833311a6dba037d1103629d12b6c53e97c0f66da24fd24,extrasensory-p2-fold4-seed47-v2_multiseed,p2_system_reliability,51010,36471,0.7149774554009017,0.526460853455285,0.7205507878046145,0.4427782667622145,0.9820618898792375,0.009728257375336606,0.8920919895172119,0.997871458530426,0.8,0.4412100785502372,0.6135680899590653,0.7100151314545111,0.9,0.4483486601215271,0.6057885982452456,0.7041049078773494,0.9500098019996079,0.45117416373036245,0.6011603311011585,0.700784723306002,1.0,0.4503193512823913,0.5976761634819686,0.6998710940936614
