run_key,attempt,status,started_at,finished_at,return_code,log_path,reason
credible|mlp|fold4|seed13,1,success,2026-09-10T06:44:10.384159+00:00,2026-09-10T06:46:49.624909+00:00,0,runs\_phase5_logs\credible_mlp_fold4_seed13\attempt-1.log,
credible|quality-aware|fold1|seed13,1,success,2026-09-10T06:46:49.629418+00:00,2026-09-10T07:27:26.337850+00:00,0,runs\_phase5_logs\credible_quality-aware_fold1_seed13\attempt-1.log,
credible|quality-aware|fold2|seed13,1,success,2026-09-10T07:27:26.342719+00:00,2026-09-10T07:51:58.253149+00:00,0,runs\_phase5_logs\credible_quality-aware_fold2_seed13\attempt-1.log,
credible|quality-aware|fold3|seed13,1,success,2026-09-10T07:51:58.256694+00:00,2026-09-10T09:31:26.058939+00:00,0,runs\_phase5_logs\credible_quality-aware_fold3_seed13\attempt-1.log,
credible|quality-aware|fold4|seed13,1,success,2026-09-10T09:31:26.064020+00:00,2026-09-10T09:52:42.459557+00:00,0,runs\_phase5_logs\credible_quality-aware_fold4_seed13\attempt-1.log,
credible|robust-gated|fold1|seed13,1,success,2026-09-10T09:52:42.464839+00:00,2026-09-10T10:28:52.177150+00:00,0,runs\_phase5_logs\credible_robust-gated_fold1_seed13\attempt-1.log,
credible|robust-gated|fold2|seed13,1,success,2026-09-10T10:28:52.181148+00:00,2026-09-10T10:56:35.704410+00:00,0,runs\_phase5_logs\credible_robust-gated_fold2_seed13\attempt-1.log,
credible|robust-gated|fold3|seed13,1,success,2026-09-10T10:56:35.708916+00:00,2026-09-10T11:46:07.842795+00:00,0,runs\_phase5_logs\credible_robust-gated_fold3_seed13\attempt-1.log,
credible|robust-gated|fold4|seed13,1,success,2026-09-10T11:46:07.847797+00:00,2026-09-10T12:14:24.667257+00:00,0,runs\_phase5_logs\credible_robust-gated_fold4_seed13\attempt-1.log,
credible|single-audio|fold0|seed13,1,success,2026-09-10T12:14:24.672289+00:00,2026-09-10T12:16:58.636494+00:00,0,runs\_phase5_logs\credible_single-audio_fold0_seed13\attempt-1.log,
credible|single-audio|fold1|seed13,1,success,2026-09-10T12:16:58.641030+00:00,2026-09-10T12:18:49.487820+00:00,0,runs\_phase5_logs\credible_single-audio_fold1_seed13\attempt-1.log,
credible|single-audio|fold2|seed13,1,success,2026-09-10T12:18:49.491816+00:00,2026-09-10T12:21:42.889580+00:00,0,runs\_phase5_logs\credible_single-audio_fold2_seed13\attempt-1.log,
credible|single-audio|fold3|seed13,1,success,2026-09-10T12:21:42.893764+00:00,2026-09-10T12:23:44.724549+00:00,0,runs\_phase5_logs\credible_single-audio_fold3_seed13\attempt-1.log,
credible|single-audio|fold4|seed13,1,success,2026-09-10T12:23:44.729034+00:00,2026-09-10T12:25:27.679936+00:00,0,runs\_phase5_logs\credible_single-audio_fold4_seed13\attempt-1.log,
credible|single-location|fold0|seed13,1,success,2026-09-10T12:25:27.683990+00:00,2026-09-10T12:27:06.501748+00:00,0,runs\_phase5_logs\credible_single-location_fold0_seed13\attempt-1.log,
credible|single-location|fold1|seed13,1,success,2026-09-10T12:27:06.506382+00:00,2026-09-10T12:28:50.449431+00:00,0,runs\_phase5_logs\credible_single-location_fold1_seed13\attempt-1.log,
credible|single-location|fold2|seed13,1,success,2026-09-10T12:28:50.454559+00:00,2026-09-10T12:30:25.469676+00:00,0,runs\_phase5_logs\credible_single-location_fold2_seed13\attempt-1.log,
credible|single-location|fold3|seed13,1,success,2026-09-10T12:30:25.474679+00:00,2026-09-10T12:32:48.728447+00:00,0,runs\_phase5_logs\credible_single-location_fold3_seed13\attempt-1.log,
credible|single-location|fold4|seed13,1,success,2026-09-10T12:32:48.732467+00:00,2026-09-10T12:34:55.066797+00:00,0,runs\_phase5_logs\credible_single-location_fold4_seed13\attempt-1.log,
credible|single-phone_acc|fold0|seed13,1,success,2026-09-10T12:34:55.071306+00:00,2026-09-10T12:37:32.937510+00:00,0,runs\_phase5_logs\credible_single-phone_acc_fold0_seed13\attempt-1.log,
credible|single-phone_acc|fold1|seed13,1,success,2026-09-10T12:37:32.942655+00:00,2026-09-10T12:40:46.516098+00:00,0,runs\_phase5_logs\credible_single-phone_acc_fold1_seed13\attempt-1.log,
credible|single-phone_acc|fold2|seed13,1,success,2026-09-10T12:40:46.519607+00:00,2026-09-10T12:42:14.724424+00:00,0,runs\_phase5_logs\credible_single-phone_acc_fold2_seed13\attempt-1.log,
credible|single-phone_acc|fold3|seed13,1,success,2026-09-10T12:42:14.729425+00:00,2026-09-10T12:45:11.038061+00:00,0,runs\_phase5_logs\credible_single-phone_acc_fold3_seed13\attempt-1.log,
credible|single-phone_acc|fold4|seed13,1,success,2026-09-10T12:45:11.044412+00:00,2026-09-10T12:47:14.463199+00:00,0,runs\_phase5_logs\credible_single-phone_acc_fold4_seed13\attempt-1.log,
credible|single-phone_gyro|fold0|seed13,1,success,2026-09-10T12:47:14.469144+00:00,2026-09-10T12:49:44.595219+00:00,0,runs\_phase5_logs\credible_single-phone_gyro_fold0_seed13\attempt-1.log,
credible|single-phone_gyro|fold1|seed13,1,success,2026-09-10T12:49:44.600634+00:00,2026-09-10T12:51:31.900306+00:00,0,runs\_phase5_logs\credible_single-phone_gyro_fold1_seed13\attempt-1.log,
credible|single-phone_gyro|fold2|seed13,1,success,2026-09-10T12:51:31.905663+00:00,2026-09-10T12:53:32.745796+00:00,0,runs\_phase5_logs\credible_single-phone_gyro_fold2_seed13\attempt-1.log,
credible|single-phone_gyro|fold3|seed13,1,success,2026-09-10T12:53:32.751975+00:00,2026-09-10T12:56:30.427201+00:00,0,runs\_phase5_logs\credible_single-phone_gyro_fold3_seed13\attempt-1.log,
credible|single-phone_gyro|fold4|seed13,1,success,2026-09-10T12:56:30.432384+00:00,2026-09-10T12:58:37.468126+00:00,0,runs\_phase5_logs\credible_single-phone_gyro_fold4_seed13\attempt-1.log,
credible|single-phone_state|fold0|seed13,1,success,2026-09-10T12:58:37.474282+00:00,2026-09-10T13:00:19.797982+00:00,0,runs\_phase5_logs\credible_single-phone_state_fold0_seed13\attempt-1.log,
credible|single-phone_state|fold1|seed13,1,success,2026-09-10T13:00:19.803496+00:00,2026-09-10T13:02:28.614563+00:00,0,runs\_phase5_logs\credible_single-phone_state_fold1_seed13\attempt-1.log,
credible|single-phone_state|fold2|seed13,1,success,2026-09-10T13:02:28.620563+00:00,2026-09-10T13:04:02.975329+00:00,0,runs\_phase5_logs\credible_single-phone_state_fold2_seed13\attempt-1.log,
credible|single-phone_state|fold3|seed13,1,success,2026-09-10T13:04:02.979898+00:00,2026-09-10T13:06:37.235020+00:00,0,runs\_phase5_logs\credible_single-phone_state_fold3_seed13\attempt-1.log,
credible|single-phone_state|fold4|seed13,1,success,2026-09-10T13:06:37.241583+00:00,2026-09-10T13:08:54.895662+00:00,0,runs\_phase5_logs\credible_single-phone_state_fold4_seed13\attempt-1.log,
credible|single-watch_acc|fold0|seed13,1,success,2026-09-10T13:08:54.900336+00:00,2026-09-10T13:10:36.649235+00:00,0,runs\_phase5_logs\credible_single-watch_acc_fold0_seed13\attempt-1.log,
credible|single-watch_acc|fold1|seed13,1,success,2026-09-10T13:10:36.653757+00:00,2026-09-10T13:12:25.884417+00:00,0,runs\_phase5_logs\credible_single-watch_acc_fold1_seed13\attempt-1.log,
credible|single-watch_acc|fold2|seed13,1,success,2026-09-10T13:12:25.889319+00:00,2026-09-10T13:14:04.578129+00:00,0,runs\_phase5_logs\credible_single-watch_acc_fold2_seed13\attempt-1.log,
credible|single-watch_acc|fold3|seed13,1,success,2026-09-10T13:14:04.582129+00:00,2026-09-10T13:15:46.461593+00:00,0,runs\_phase5_logs\credible_single-watch_acc_fold3_seed13\attempt-1.log,
credible|single-watch_acc|fold4|seed13,1,success,2026-09-10T13:15:46.466599+00:00,2026-09-10T13:19:21.249727+00:00,0,runs\_phase5_logs\credible_single-watch_acc_fold4_seed13\attempt-1.log,
