phase,model_id,fold,seed,scenario,protocol_sha256,source_prediction_sha256,run_id,score_method,valid_count,error_count,error_prevalence,error_detection_auroc,error_detection_auprc,normalized_aurc,confidence_mean,confidence_std,confidence_min,confidence_max,actual_coverage_0_80,risk_masked_bce_0_80,macro_f1_0_80,micro_f1_0_80,actual_coverage_0_90,risk_masked_bce_0_90,macro_f1_0_90,micro_f1_0_90,actual_coverage_0_95,risk_masked_bce_0_95,macro_f1_0_95,micro_f1_0_95,actual_coverage_1_00,risk_masked_bce_1_00,macro_f1_1_00,micro_f1_1_00
V3-1,B4,4,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,bebbee8e71ac62ea2c3991b0c88624924c3d2366532650959e2076029a37750a,extrasensory-gated-fold4-seed13-credible,mean_binary_certainty,51010,38363,0.7520682219172711,0.6547394311947617,0.8448558703864616,0.4530730623343462,0.5840382654442113,0.21113013762945537,0.05368495292593345,0.99925824696507,0.8,0.4635041970012129,0.6364481497372856,0.7106439801050579,0.9,0.47640149134075704,0.6170308017042264,0.6925752469446187,0.9500098019996079,0.48247151407158917,0.6081719462616779,0.6847769648336087,1.0,0.48841062779827177,0.5997155644492679,0.6785188708694424
V3-1,B4,4,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,bebbee8e71ac62ea2c3991b0c88624924c3d2366532650959e2076029a37750a,extrasensory-gated-fold4-seed13-credible,mean_normalized_threshold_margin,51010,38363,0.7520682219172711,0.6414964129956725,0.8370806687140308,0.45766368058102136,0.7475426213932994,0.14973278098557716,0.25947510306563093,0.9999042348875177,0.8,0.4647879452941003,0.6487490623323425,0.7127760085170317,0.9,0.47418818550158165,0.626491015785277,0.6967462721149231,0.9500098019996079,0.4805744947082098,0.6141327456954454,0.6880921623521189,1.0,0.48841062779827177,0.5997155644492679,0.6785188708694424
V3-1,B5,4,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,7ede1eaabab84449191cf6b1033902872d1eff5cd9363449baa2b349f6b2a576,extrasensory-robust-gated-fold4-seed13-credible,mean_binary_certainty,51010,38058,0.7460890021564399,0.6631069910329317,0.8481336825967092,0.3980442433770575,0.5296091531934498,0.20614968218291715,0.05850630729123607,0.9963864458806458,0.8,0.43881275260034885,0.6278567685734658,0.6984093023255814,0.9,0.4509146567424091,0.610979003110284,0.6833944482237967,0.9500098019996079,0.458267334233155,0.6014466150623899,0.6750951337751355,1.0,0.4665671660902049,0.5925096590266797,0.6664079048052077
V3-1,B5,4,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,7ede1eaabab84449191cf6b1033902872d1eff5cd9363449baa2b349f6b2a576,extrasensory-robust-gated-fold4-seed13-credible,mean_normalized_threshold_margin,51010,38058,0.7460890021564399,0.6498303879410869,0.8384794337038228,0.4006882933020458,0.711326959761837,0.15418179948890207,0.24324072990029647,0.999273089160082,0.8,0.4369762565430918,0.6434159597487477,0.7044326387550809,0.9,0.4494501375198226,0.620537154174684,0.6874335758244836,0.9500098019996079,0.45674751698600347,0.6065373523050739,0.6777066278860664,1.0,0.46656716609020477,0.5925096590266797,0.6664079048052077
V3-1,P,4,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,1ddeb89c2e9bcb6daf8ebe513404fc5c95fffccd2399184403b149525ff535d8,extrasensory-quality-aware-fold4-seed13-credible,mean_binary_certainty,51010,37378,0.7327582826896687,0.6853234019779403,0.8460818168109727,0.3570784987454817,0.48388482766736934,0.21537742974909435,0.05348172587903954,0.9882803774119657,0.8,0.4182527617586733,0.6460295745842113,0.7241396643194312,0.9,0.4377577709291943,0.6250368092850326,0.7043732016407159,0.9500098019996079,0.4480096700831323,0.6137329463039843,0.6944893710871903,1.0,0.4581310172517762,0.600583953421531,0.6843476253805656
V3-1,P,4,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,1ddeb89c2e9bcb6daf8ebe513404fc5c95fffccd2399184403b149525ff535d8,extrasensory-quality-aware-fold4-seed13-credible,mean_normalized_threshold_margin,51010,37378,0.7327582826896687,0.6767879886758975,0.8365329779440787,0.36128433906467805,0.6806887046453088,0.161448914282384,0.22766092013410005,0.9977660430212867,0.8,0.42056748015282414,0.6647700770278782,0.7267997699744816,0.9,0.4374448486462437,0.6397242103834075,0.7078885896895176,0.9500098019996079,0.44706153474324956,0.6226942536625639,0.6972158444114299,1.0,0.4581310172517762,0.600583953421531,0.6843476253805656
V3-1,P2,4,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,mean_binary_certainty,51010,36895,0.723289551068418,0.6896084238634334,0.8413988651498133,0.34311419454001485,0.4985678475603788,0.20669050020544824,0.04917345630608061,0.9765134319816908,0.8,0.4076467000030888,0.6418791636624225,0.7379098256728034,0.9,0.4259420514016705,0.6244447053022004,0.7195409611229763,0.9500098019996079,0.435465864429254,0.6137858967136226,0.7093448815561858,1.0,0.4453039070601362,0.601285630296833,0.6988239583604617
V3-1,P2,4,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,mean_normalized_threshold_margin,51010,36895,0.723289551068418,0.6797937757612877,0.8325497616078605,0.346180298729042,0.6916009536265575,0.156109508317867,0.24522551569745016,0.9945555014062195,0.8,0.4088817988978556,0.6614400298475456,0.742692162318471,0.9,0.42564940517703975,0.6368548447709086,0.722488195712617,0.9500098019996079,0.43414800309759016,0.6206067101899734,0.7118363893469754,1.0,0.4453039070601362,0.601285630296833,0.6988239583604617
V3-1,P2,4,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,p2_system_reliability,51010,36895,0.723289551068418,0.49800956146097647,0.705629907788807,0.43599644342402966,0.9776506590389826,0.01711748729514814,0.8427388072013855,0.998230516910553,0.8,0.44962342482874046,0.6014567970596068,0.6932057002346105,0.9,0.4495919826753438,0.5969363530035261,0.6951550203064388,0.9500098019996079,0.44926510768018385,0.5970869232477564,0.6959509432928571,1.0,0.44530390706013606,0.601285630296833,0.6988239583604617
