fold,candidate_macro_f1,baseline_macro_f1,delta_macro_f1,candidate_micro_f1,baseline_micro_f1,delta_micro_f1,candidate_mean_average_precision,baseline_mean_average_precision,delta_mean_average_precision,candidate_brier_score,baseline_brier_score,delta_brier_score,candidate_masked_bce,baseline_masked_bce,delta_masked_bce,candidate_parameter_count,baseline_parameter_count,delta_parameter_count,relative_delta_parameter_count,candidate_latency_ms_per_sample,baseline_latency_ms_per_sample,delta_latency_ms_per_sample,relative_delta_latency_ms_per_sample,seed_count
0,0.578556509015339,0.578556509015339,0.0,0.7167703429880822,0.7167703429880822,0.0,0.5856426071358632,0.5856425941538868,1.2981976493797731e-08,0.12801437648587444,0.1280143765395645,-5.369010791511641e-11,0.42161029479197326,0.42161029494264285,-1.5066958791720703e-10,136496.0,133724.0,2772.0,0.02072926325865221,0.038442982010981334,0.0354181143269999,0.003024867683981433,0.12163281210609662,3
1,0.5917862430862229,0.5917862430862229,0.0,0.6831750692922437,0.6831750692922437,0.0,0.5889999384320268,0.5889999475291335,-9.097106771586523e-09,0.13396654183148293,0.1339665418749784,-4.349549424335445e-11,0.43768616521007164,0.43768616634441376,-1.1343421572422112e-09,136496.0,133724.0,2772.0,0.02072926325865221,0.044995991850785795,0.032843807831476134,0.012152184019309634,0.3969620658367252,3
2,0.580541365151902,0.5808665461004737,-0.0003251809485717001,0.7098258856182459,0.7045953898585241,0.0052304957597218,0.560805696941132,0.5666357422582994,-0.005830045317167333,0.12618612381319316,0.12683759273549655,-0.0006514689223033667,0.454307018593082,0.4546976433319169,-0.00039062473883486656,136496.0,133724.0,2772.0,0.02072926325865221,0.047100566683061396,0.032478397914934794,0.014622168768126567,0.4550062213427697,3
3,0.5383846005899183,0.5367494914144401,0.0016351091754783333,0.6981086939104726,0.6980044005934554,0.00010429331701726666,0.5424728856467168,0.5416641429306397,0.0008087427160770915,0.12839172673086915,0.128908471504116,-0.0005167447732468152,0.4364010538734227,0.4366350232484508,-0.00023396937502813484,136496.0,133724.0,2772.0,0.02072926325865221,0.04681685144887543,0.03263765970746816,0.014179191741407233,0.46995067363275184,3
4,0.6011722553366083,0.6004616926054661,0.0007105627311423,0.6935176309935969,0.6944136122783187,-0.0008959812847216666,0.611321197755601,0.6137582724299557,-0.0024370746743547713,0.1426594184138671,0.14192236934041189,0.0007370490734551989,0.4532954046674222,0.4478184864248825,0.0054769182425396384,136496.0,133724.0,2772.0,0.02072926325865221,0.039907616807162365,0.0336648140886471,0.006242802718515233,0.20019207029528133,3
