phase,model_id,fold,seed,scenario,protocol_sha256,source_prediction_sha256,run_id,score_method,valid_count,error_count,error_prevalence,error_detection_auroc,error_detection_auprc,normalized_aurc,confidence_mean,confidence_std,confidence_min,confidence_max,actual_coverage_0_80,risk_masked_bce_0_80,macro_f1_0_80,micro_f1_0_80,actual_coverage_0_90,risk_masked_bce_0_90,macro_f1_0_90,micro_f1_0_90,actual_coverage_0_95,risk_masked_bce_0_95,macro_f1_0_95,micro_f1_0_95,actual_coverage_1_00,risk_masked_bce_1_00,macro_f1_1_00,micro_f1_1_00
V3-2,P2,0,47,natural_missingness,ea4f5c2a61cf7df43321c66da250e1480ff9cb431dfabb22d9c4d05d565bb993,4713ca0d554d4ba66875cada7f2b9ad8e1a37c83062a6da42fc3f5f33ec0cd2f,extrasensory-p2-fold0-seed47-v2_multiseed,mean_binary_certainty,65059,45340,0.6969058854270739,0.7386378474201257,0.849184135339796,0.29276144126750225,0.5268987445087651,0.21960751046980118,0.026831075108810665,0.9942770282214023,0.8000122965308413,0.3751683586447783,0.6054973751355324,0.7538499889208952,0.9000138335971964,0.39619524607592593,0.5881490238451433,0.7341747926447937,0.9500146021303739,0.40685702672098156,0.5789186747097698,0.7246799811659009,1.0,0.41810733557708624,0.5716197763884875,0.7167951290389538
V3-2,P2,0,47,natural_missingness,ea4f5c2a61cf7df43321c66da250e1480ff9cb431dfabb22d9c4d05d565bb993,4713ca0d554d4ba66875cada7f2b9ad8e1a37c83062a6da42fc3f5f33ec0cd2f,extrasensory-p2-fold0-seed47-v2_multiseed,p2_system_reliability,65059,45340,0.6969058854270739,0.5062152499342717,0.6972940971617168,0.4240647550374032,0.984464682308941,0.012892223224457948,0.8240059614181519,0.999147891998291,0.8000122965308413,0.419793107733506,0.5733749006031575,0.7118701007838746,0.9000138335971964,0.4176185337861211,0.5745028582752746,0.7148735782972983,0.9500146021303739,0.4172111513328521,0.5739443682162044,0.716200425342962,1.0,0.41810733557708624,0.5716197763884875,0.7167951290389538
V3-2,P2,0,47,natural_missingness,ea4f5c2a61cf7df43321c66da250e1480ff9cb431dfabb22d9c4d05d565bb993,4713ca0d554d4ba66875cada7f2b9ad8e1a37c83062a6da42fc3f5f33ec0cd2f,extrasensory-p2-fold0-seed47-v2_multiseed,task_confidence_output_only,65059,45340,0.6969058854270739,0.74169789557397,0.8502683971734246,0.29922784345836656,0.3298060560766664,0.2231558217632566,0.013029266322415078,0.8931956814789779,0.8000122965308413,0.3865244321389371,0.593760468706823,0.7477938341963514,0.9000138335971964,0.40269978902409065,0.5842693189005561,0.7328722674429384,0.9500146021303739,0.41034865225829936,0.5788613138153151,0.7249890411759549,1.0,0.41810733557708624,0.5716197763884875,0.7167951290389538
V3-2,P2,0,47,natural_missingness,ea4f5c2a61cf7df43321c66da250e1480ff9cb431dfabb22d9c4d05d565bb993,4713ca0d554d4ba66875cada7f2b9ad8e1a37c83062a6da42fc3f5f33ec0cd2f,extrasensory-p2-fold0-seed47-v2_multiseed,task_confidence_full,65059,45340,0.6969058854270739,0.7709563690540223,0.8697424059095374,0.29605267388140905,0.31623241852875916,0.2303414128478117,0.002846388966926683,0.9943693363500022,0.8000122965308413,0.37917839503234796,0.5977659088703351,0.7538004907446668,0.9000138335971964,0.3973857830428695,0.5866112232177046,0.7373991048012677,0.9500146021303739,0.4075438696652792,0.5793882209816196,0.7278249913027717,1.0,0.41810733557708624,0.5716197763884875,0.7167951290389538
