phase,model_id,fold,seed,scenario,protocol_sha256,selected_family,source_prediction_sha256,run_id,requested_coverage,coverage,accepted_count,risk_masked_bce,macro_f1,micro_f1,known_target_count,score_method,confidence_cutoff
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.05,0.05000980199960792,2551,0.36546015372276563,0.3765580987707853,0.8552332575858842,24998,mean_binary_certainty,0.9385069321427371
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.1,0.1,5101,0.24988472393079297,0.39166492713326956,0.8900176541642147,55105,mean_binary_certainty,0.9047215601898134
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.15,0.15000980199960792,7652,0.23884630632039752,0.6010572689642917,0.8900307897145711,82256,mean_binary_certainty,0.8041040652569647
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.2,0.2,10202,0.2651113812484653,0.6497060108274622,0.8734419785439358,107157,mean_binary_certainty,0.7256483721832356
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.25,0.25000980199960793,12753,0.2700268642627199,0.6830080674803468,0.8608227450666025,133186,mean_binary_certainty,0.6649763200945763
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.3,0.3,15303,0.2814684285507933,0.7001696075375834,0.8451270468661773,158585,mean_binary_certainty,0.6126547971782268
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.35,0.3500098019996079,17854,0.29799111092850866,0.7066490292853401,0.8288477588492317,183874,mean_binary_certainty,0.5667534778067586
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.4,0.4,20404,0.3171563798566301,0.7088527845231783,0.8120072294837206,208164,mean_binary_certainty,0.5303584959732596
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.45,0.45000980199960794,22955,0.3303844513370405,0.7056462270734019,0.7992749339953501,232566,mean_binary_certainty,0.4984805563893593
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.5,0.5,25505,0.34123376794519217,0.6969812582791711,0.7866988855628089,256339,mean_binary_certainty,0.4703178989394018
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.55,0.5500098019996079,28056,0.35308158007887536,0.6862838247956314,0.7744552588599275,280170,mean_binary_certainty,0.4452284195082572
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.6,0.6,30606,0.36527680603331525,0.6765783807076795,0.7628553364148083,304174,mean_binary_certainty,0.4203701737796285
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.65,0.6500098019996079,33157,0.37490642707524713,0.6697364632481957,0.7528760240929463,327857,mean_binary_certainty,0.395104609680925
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.7,0.7,35707,0.3846325348747615,0.6618608150217623,0.743173073331092,351728,mean_binary_certainty,0.36878850767891735
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.75,0.7500098019996079,38258,0.39453071079853513,0.6527401036340268,0.7334849653818022,375569,mean_binary_certainty,0.3418375692051595
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.8,0.8,40808,0.4055608080519542,0.6440117185318807,0.7235648265920461,400445,mean_binary_certainty,0.312975752497477
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.85,0.850009801999608,43359,0.41685993790013676,0.6339254072630726,0.7140085163822693,425754,mean_binary_certainty,0.2835479309939112
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.9,0.9,45909,0.42711050478898455,0.6242987793878484,0.704480413641106,451578,mean_binary_certainty,0.25050248433841626
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.95,0.9500098019996079,48460,0.43795441812185715,0.6133106288298412,0.6943959597398845,477896,mean_binary_certainty,0.20833331375832076
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,1.0,1.0,51010,0.44783220093212,0.6024232840375966,0.6845457843808327,504726,mean_binary_certainty,0.05248612813927267
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.05,0.05000980199960792,2551,0.5738928477600668,0.41236561442578096,0.4958309094434749,21013,p2_system_reliability,0.9968563318252563
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.1,0.1,5101,0.5470143154441479,0.4612423628019256,0.5301238090854697,43785,p2_system_reliability,0.9957842826843262
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.15,0.15000980199960792,7652,0.5338750147771205,0.5187961911969289,0.5647100320390347,67632,p2_system_reliability,0.9948375225067139
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.2,0.2,10202,0.5222502076680002,0.5478586111074849,0.5904863028243789,92368,p2_system_reliability,0.9938657879829407
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.25,0.25000980199960793,12753,0.5113375401894203,0.5662843145769764,0.6067449116030308,117704,p2_system_reliability,0.9929555654525757
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.3,0.3,15303,0.5032125871775862,0.5760283474964651,0.6187848285725851,142555,p2_system_reliability,0.9920796155929565
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.35,0.3500098019996079,17854,0.49435120179159353,0.5863995968112875,0.6318402321258557,168360,p2_system_reliability,0.9912517070770264
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.4,0.4,20404,0.48826643694869987,0.5937873475644743,0.6417596192453459,194278,p2_system_reliability,0.9903948903083801
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.45,0.45000980199960794,22955,0.4813268320393429,0.5989168476483006,0.6500129210095615,220212,p2_system_reliability,0.9895482659339905
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.5,0.5,25505,0.47368434389559444,0.6035468880707009,0.6579546853835735,245943,p2_system_reliability,0.9887000918388367
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.55,0.5500098019996079,28056,0.46725362959345335,0.6072584627770905,0.6645093945720251,271798,p2_system_reliability,0.9877640008926392
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.6,0.6,30606,0.46311801210194986,0.6091954568314258,0.6694965799926397,297950,p2_system_reliability,0.9866585731506348
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.65,0.6500098019996079,33157,0.46038041677761316,0.6106426887132168,0.6723853012793937,324176,p2_system_reliability,0.9853512048721313
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.7,0.7,35707,0.46014406225185955,0.6101428130081373,0.6726354901259844,349956,p2_system_reliability,0.9837157726287842
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.75,0.7500098019996079,38258,0.4611799344902497,0.6085273005236834,0.6729508941644535,376033,p2_system_reliability,0.9817550778388977
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.8,0.8,40808,0.46082152671179477,0.6072810328331351,0.6746003669690152,402568,p2_system_reliability,0.9794109463691711
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.85,0.850009801999608,43359,0.46005631868471103,0.6068109702304472,0.677030982248416,428158,p2_system_reliability,0.9768528342247009
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.9,0.9,45909,0.4570572633706601,0.6059614761167652,0.679912509113634,454225,p2_system_reliability,0.9730426669120789
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.95,0.9500098019996079,48460,0.4527956893978026,0.6047342371091033,0.6825466217679841,479717,p2_system_reliability,0.9659623503684998
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,1.0,1.0,51010,0.44783220093212,0.6024232840375966,0.6845457843808327,504726,p2_system_reliability,0.8569379448890686
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.05,0.05000980199960792,2551,0.3962626125251483,0.3827957355652938,0.8547695240689045,24642,grouped_risk_output_compact,0.4619884944846332
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.1,0.1,5101,0.28425663328256373,0.6508271562267849,0.8758795745911384,52915,grouped_risk_output_compact,0.4493369006906307
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.15,0.15000980199960792,7652,0.24921646493931032,0.6456176958441532,0.8865548049684027,79241,grouped_risk_output_compact,0.4406638416693793
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.2,0.2,10202,0.25651624559515174,0.5999742163926238,0.8795749315204119,106055,grouped_risk_output_compact,0.4329982260238549
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.25,0.25000980199960793,12753,0.2678773898881783,0.6912745403363922,0.8628851446599987,132724,grouped_risk_output_compact,0.4236640247178557
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.3,0.3,15303,0.28447844129107136,0.7146356289128428,0.844166571068028,158323,grouped_risk_output_compact,0.41535004985164986
V3-3,P2,4,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,fdfb479e3a4067e69be7dcb34610d1f8aa3d1ffcb924a65827419fb34846aa22,extrasensory-p2-fold4-seed29-v2_multiseed,0.35,0.3500098019996079,17854,0.29887291175610065,0.7177509570181316,0.8276039654950431,184164,grouped_risk_output_compact,0.4100767742090602
