phase,model_id,fold,seed,scenario,protocol_sha256,source_prediction_sha256,run_id,requested_coverage,coverage,accepted_count,risk_masked_bce,macro_f1,micro_f1,known_target_count,score_method,confidence_cutoff
V3-1,B4,2,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,170d186f5609959e22957c776111be7e403f897180980c1e410ed73884a11488,extrasensory-gated-fold2-seed29-full,0.05,0.05000576465532602,4771,0.3817804446167064,0.6142224043870886,0.9316964434241608,52337,mean_binary_certainty,0.9761594327866159
V3-1,B4,2,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,170d186f5609959e22957c776111be7e403f897180980c1e410ed73884a11488,extrasensory-gated-fold2-seed29-full,0.1,0.10000104811915018,9541,0.3509488465917262,0.5317677374437867,0.9360299245546186,107447,mean_binary_certainty,0.9618198919069538
V3-1,B4,2,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,170d186f5609959e22957c776111be7e403f897180980c1e410ed73884a11488,extrasensory-gated-fold2-seed29-full,0.15,0.1500068127744762,14312,0.33102437435248944,0.4323394446467448,0.9298245614035088,163625,mean_binary_certainty,0.9428322317696379
V3-1,B4,2,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,170d186f5609959e22957c776111be7e403f897180980c1e410ed73884a11488,extrasensory-gated-fold2-seed29-full,0.2,0.20000209623830037,19082,0.2946326544294852,0.4310586508571038,0.9257868945152982,220477,mean_binary_certainty,0.9225763098740887
V3-1,B4,2,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,170d186f5609959e22957c776111be7e403f897180980c1e410ed73884a11488,extrasensory-gated-fold2-seed29-full,0.25,0.25000786089362637,23853,0.293014413022807,0.3439204162171662,0.9188514833839357,274764,mean_binary_certainty,0.8569393049782454
V3-1,B4,2,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,170d186f5609959e22957c776111be7e403f897180980c1e410ed73884a11488,extrasensory-gated-fold2-seed29-full,0.3,0.30000314435745057,28623,0.31192337959183764,0.5989195953823867,0.9045524173985096,323497,mean_binary_certainty,0.732497779525343
V3-1,B4,2,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,170d186f5609959e22957c776111be7e403f897180980c1e410ed73884a11488,extrasensory-gated-fold2-seed29-full,0.35,0.3500089090127766,33394,0.3268606075156782,0.6745289558359435,0.8858807518512958,371783,mean_binary_certainty,0.6556450091013148
V3-1,B4,2,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,170d186f5609959e22957c776111be7e403f897180980c1e410ed73884a11488,extrasensory-gated-fold2-seed29-full,0.4,0.40000419247660074,38164,0.34835488749045207,0.6814859837964844,0.8623140833619554,420219,mean_binary_certainty,0.6096223357040338
V3-1,B4,2,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,170d186f5609959e22957c776111be7e403f897180980c1e410ed73884a11488,extrasensory-gated-fold2-seed29-full,0.45,0.45000995713192676,42935,0.36487472799572507,0.6735551567587417,0.8401584686592923,468695,mean_binary_certainty,0.576768015754823
V3-1,B4,2,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,170d186f5609959e22957c776111be7e403f897180980c1e410ed73884a11488,extrasensory-gated-fold2-seed29-full,0.5,0.5000052405957509,47705,0.37629483142895015,0.6621953955454735,0.8211500349316339,516938,mean_binary_certainty,0.5486313559842984
V3-1,B4,2,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,170d186f5609959e22957c776111be7e403f897180980c1e410ed73884a11488,extrasensory-gated-fold2-seed29-full,0.55,0.5500005240595751,52475,0.3873073115701149,0.6496701042270119,0.803144219743563,565707,mean_binary_certainty,0.5232700463578032
V3-1,B4,2,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,170d186f5609959e22957c776111be7e403f897180980c1e410ed73884a11488,extrasensory-gated-fold2-seed29-full,0.6,0.6000062887149011,57246,0.3967813052451256,0.6373869669374163,0.7873982254228251,613874,mean_binary_certainty,0.4990383169381104
V3-1,B4,2,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,170d186f5609959e22957c776111be7e403f897180980c1e410ed73884a11488,extrasensory-gated-fold2-seed29-full,0.65,0.6500015721787252,62016,0.40622516034451106,0.6273158826170181,0.7733218660267169,660957,mean_binary_certainty,0.47417165833387875
V3-1,B4,2,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,170d186f5609959e22957c776111be7e403f897180980c1e410ed73884a11488,extrasensory-gated-fold2-seed29-full,0.7,0.7000073368340513,66787,0.4137540491364641,0.6179568822957419,0.7608285084625779,708108,mean_binary_certainty,0.4487415356272848
V3-1,B4,2,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,170d186f5609959e22957c776111be7e403f897180980c1e410ed73884a11488,extrasensory-gated-fold2-seed29-full,0.75,0.7500026202978755,71557,0.42061830887648277,0.6110800160497667,0.7500749944358966,754743,mean_binary_certainty,0.42151666928841225
V3-1,B4,2,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,170d186f5609959e22957c776111be7e403f897180980c1e410ed73884a11488,extrasensory-gated-fold2-seed29-full,0.8,0.8000083849532015,76328,0.4287149993507323,0.6038349183126352,0.7394905603290406,801155,mean_binary_certainty,0.3932347927032238
V3-1,B4,2,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,170d186f5609959e22957c776111be7e403f897180980c1e410ed73884a11488,extrasensory-gated-fold2-seed29-full,0.85,0.8500036684170257,81098,0.43587147035438684,0.5961102456033976,0.729686487970386,848159,mean_binary_certainty,0.36091860832194733
V3-1,B4,2,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,170d186f5609959e22957c776111be7e403f897180980c1e410ed73884a11488,extrasensory-gated-fold2-seed29-full,0.9,0.9000094330723517,85869,0.442837037111151,0.5885300185913687,0.7208891502976341,894703,mean_binary_certainty,0.32117395205113086
V3-1,B4,2,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,170d186f5609959e22957c776111be7e403f897180980c1e410ed73884a11488,extrasensory-gated-fold2-seed29-full,0.95,0.9500047165361758,90639,0.44931038542922325,0.5812315433840968,0.7131046864097769,941126,mean_binary_certainty,0.2667336344688134
V3-1,B4,2,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,170d186f5609959e22957c776111be7e403f897180980c1e410ed73884a11488,extrasensory-gated-fold2-seed29-full,1.0,1.0,95409,0.45683048291480943,0.5721928207356917,0.7046176309545538,986204,mean_binary_certainty,0.03112586589648314
V3-1,B4,2,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,170d186f5609959e22957c776111be7e403f897180980c1e410ed73884a11488,extrasensory-gated-fold2-seed29-full,0.05,0.05000576465532602,4771,0.38987989923552774,0.6168421948634919,0.9348301212000795,52226,mean_normalized_threshold_margin,0.993083840348573
V3-1,B4,2,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,170d186f5609959e22957c776111be7e403f897180980c1e410ed73884a11488,extrasensory-gated-fold2-seed29-full,0.1,0.10000104811915018,9541,0.34747363205177956,0.5334491623698473,0.9389708313000771,107598,mean_normalized_threshold_margin,0.9875636088454979
V3-1,B4,2,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,170d186f5609959e22957c776111be7e403f897180980c1e410ed73884a11488,extrasensory-gated-fold2-seed29-full,0.15,0.1500068127744762,14312,0.3210570904217679,0.3724970627600991,0.934783285428189,163982,mean_normalized_threshold_margin,0.9772989573341212
