phase,model_id,fold,seed,scenario,protocol_sha256,selected_family,source_prediction_sha256,run_id,score_method,valid_count,error_count,error_prevalence,error_detection_auroc,error_detection_auprc,normalized_aurc,confidence_mean,confidence_std,confidence_min,confidence_max,actual_coverage_0_80,risk_masked_bce_0_80,macro_f1_0_80,micro_f1_0_80,actual_coverage_0_90,risk_masked_bce_0_90,macro_f1_0_90,micro_f1_0_90,actual_coverage_0_95,risk_masked_bce_0_95,macro_f1_0_95,micro_f1_0_95,actual_coverage_1_00,risk_masked_bce_1_00,macro_f1_1_00,micro_f1_1_00
V3-3,P2,3,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,798c57a3ac7a11de427c0a84f98e03963a324e88ac17f5f896df91646b94d404,extrasensory-p2-fold3-seed13-v2_seed13,mean_binary_certainty,86408,61199,0.7082561799833349,0.7520112334421387,0.8573398152468912,0.3239485065689243,0.5499518416674989,0.2163401583899819,0.033572289972099045,0.9959880603460931,0.8000069438014998,0.3898672505725663,0.5800017666851839,0.7346049610932073,0.9000092584019999,0.4051646944091246,0.5657244565270434,0.716022174707309,0.9500046292009999,0.41313890699469924,0.5566725091113293,0.7065008281162777,1.0,0.4228649436786789,0.5462291450377689,0.6957399211112716
V3-3,P2,3,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,798c57a3ac7a11de427c0a84f98e03963a324e88ac17f5f896df91646b94d404,extrasensory-p2-fold3-seed13-v2_seed13,p2_system_reliability,86408,61199,0.7082561799833349,0.4788668125020426,0.7006086971157579,0.43497049523045744,0.9759206391519865,0.015702375479523863,0.8326734304428101,0.9985439777374268,0.8000069438014998,0.4325674499144233,0.5455017040152208,0.6841649278907093,0.9000092584019999,0.4262380784092025,0.5451795058401987,0.6908515880701669,0.9500046292009999,0.42355053510830887,0.5451167263063698,0.6936293262262987,1.0,0.4228649436786789,0.5462291450377689,0.6957399211112716
V3-3,P2,3,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,798c57a3ac7a11de427c0a84f98e03963a324e88ac17f5f896df91646b94d404,extrasensory-p2-fold3-seed13-v2_seed13,grouped_risk_output_compact,86408,61199,0.7082561799833349,0.7295566433202878,0.8562687726406781,0.32714357423052387,0.39178879209868417,0.027002715469290547,0.3334222598676334,0.481072548452028,0.8000069438014998,0.38605719522249254,0.5790928459189791,0.741547065132146,0.9000092584019999,0.4039987307239126,0.561964614534266,0.719011983778985,0.9500046292009999,0.4130454652567815,0.5544877452204992,0.7078934721387063,1.0,0.4228649436786789,0.5462291450377689,0.6957399211112716
V3-3,P2,3,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,798c57a3ac7a11de427c0a84f98e03963a324e88ac17f5f896df91646b94d404,extrasensory-p2-fold3-seed13-v2_seed13,grouped_risk_full_compact,86408,61199,0.7082561799833349,0.7227771474195395,0.8480377969277582,0.32560694814292207,0.39266672502253,0.028708836977185275,0.30677859937260016,0.4980789116927699,0.8000069438014998,0.3857699553682657,0.5758060410155827,0.7397245157784098,0.9000092584019999,0.4042779483122021,0.5618092022343641,0.7180380916480843,0.9500046292009999,0.41355581108618716,0.554263232057552,0.7073035878288187,1.0,0.4228649436786789,0.5462291450377689,0.6957399211112716
V3-3,P2,3,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,798c57a3ac7a11de427c0a84f98e03963a324e88ac17f5f896df91646b94d404,extrasensory-p2-fold3-seed13-v2_seed13,grouped_risk_selected,86408,61199,0.7082561799833349,0.7227771474195395,0.8480377969277582,0.32560694814292207,0.39266672502253,0.028708836977185275,0.30677859937260016,0.4980789116927699,0.8000069438014998,0.3857699553682657,0.5758060410155827,0.7397245157784098,0.9000092584019999,0.4042779483122021,0.5618092022343641,0.7180380916480843,0.9500046292009999,0.41355581108618716,0.554263232057552,0.7073035878288187,1.0,0.4228649436786789,0.5462291450377689,0.6957399211112716
