phase,model_id,fold,seed,run_id,scenario,policy_mode,confidence_source,selected_risk_family,threshold_source_split,test_rank_selection,validation_sample_count,validation_accepted_count,validation_achieved_coverage,validation_coverage_absolute_error,protocol_sha256,target_coverage,acceptance_threshold,test_sample_count,accepted_count,rejected_count,test_coverage,coverage_absolute_error,risk_masked_bce,macro_f1,micro_f1,accepted_error_prevalence,rejected_error_precision,rejected_error_recall
V3-4,P2,3,13,extrasensory-p2-fold3-seed13-v2_seed13,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,51010,40808,0.8,0.0,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.8,0.36824041424537335,86408,68954,17454,0.7980048143690399,0.001995185630960128,0.3853592449772419,0.5760346058907378,0.7402210837307603,0.661411955796618,0.8933195829036324,0.2547754048268763
V3-4,P2,3,13,extrasensory-p2-fold3-seed13-v2_seed13,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,51010,45909,0.9,0.0,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.9,0.36026508197967433,86408,78186,8222,0.9048467734469031,0.0048467734469030965,0.4051585935789438,0.5611164810374489,0.717022840921817,0.6876422889008262,0.9042811967891025,0.12148891321753623
V3-4,P2,3,13,extrasensory-p2-fold3-seed13-v2_seed13,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,51010,48460,0.9500098019996079,9.801999607983447e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.95,0.35462383722466245,86408,82570,3838,0.9555828164058884,0.005582816405888424,0.41444958851017655,0.5534321966956239,0.7061561457974014,0.6988615719995156,0.9103699843668578,0.0570924361509175
V3-4,P2,3,13,extrasensory-p2-fold3-seed13-v2_seed13,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_full_compact,val,False,51010,40808,0.8,0.0,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.8,0.3575280862630043,86408,69567,16841,0.805099064901398,0.005099064901397998,0.39065738689455454,0.5792092411257985,0.7335436109214277,0.6643092270760562,0.8897927676503771,0.24485694210689718
V3-4,P2,3,13,extrasensory-p2-fold3-seed13-v2_seed13,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_full_compact,val,False,51010,45909,0.9,0.0,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.9,0.29172395140919016,86408,78160,8248,0.9045458753819091,0.0045458753819090925,0.4057375399532724,0.5653793164508735,0.7153734449876568,0.687691914022518,0.9031280310378274,0.12171767512541054
V3-4,P2,3,13,extrasensory-p2-fold3-seed13-v2_seed13,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_full_compact,val,False,51010,48460,0.9500098019996079,9.801999607983447e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.95,0.24858148528715718,86408,81889,4519,0.947701601703546,0.0022983982964539518,0.41273766538960655,0.5570466699241141,0.7069488919459441,0.6967724602816007,0.9163531754813011,0.06766450432196605
