phase,model_id,fold,seed,run_id,scenario,policy_mode,confidence_source,selected_risk_family,threshold_source_split,test_rank_selection,validation_sample_count,validation_accepted_count,validation_achieved_coverage,validation_coverage_absolute_error,protocol_sha256,target_coverage,acceptance_threshold,test_sample_count,accepted_count,rejected_count,test_coverage,coverage_absolute_error,risk_masked_bce,macro_f1,micro_f1,accepted_error_prevalence,rejected_error_precision,rejected_error_recall
V3-4,P2,3,29,extrasensory-p2-fold3-seed29-v2_multiseed,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,51010,40808,0.8,0.0,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.8,0.3681737071936617,86408,66585,19823,0.7705883714470882,0.029411628552911795,0.38184455325755595,0.5567798357157372,0.7292117827789714,0.6663512803183901,0.8830146799172678,0.28290207360237907
V3-4,P2,3,29,extrasensory-p2-fold3-seed29-v2_multiseed,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,51010,45909,0.9,0.0,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.9,0.35894923376063226,86408,77003,9405,0.8911559114896769,0.008844088510323145,0.4040546550426488,0.5368392975756939,0.7030908477460429,0.6955443294417101,0.8839978734715577,0.13437202010570037
V3-4,P2,3,29,extrasensory-p2-fold3-seed29-v2_multiseed,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,51010,48460,0.9500098019996079,9.801999607983447e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.95,0.3518894336059849,86408,82067,4341,0.9497615961485047,0.00023840385149520582,0.4160069626866433,0.5259063891641442,0.6893104892303771,0.7083236867437581,0.862243722644552,0.06049488468314127
V3-4,P2,3,29,extrasensory-p2-fold3-seed29-v2_multiseed,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_full_compact,val,False,51010,40808,0.8,0.0,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.8,0.4379212689937515,86408,64302,22106,0.7441672067401166,0.05583279325988344,0.38215435451896,0.5684823037422791,0.7299215208153312,0.6568691487045504,0.8882203926535782,0.3173435909039484
V3-4,P2,3,29,extrasensory-p2-fold3-seed29-v2_multiseed,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_full_compact,val,False,51010,45909,0.9,0.0,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.9,0.36877599912603515,86408,75278,11130,0.8711924821775762,0.028807517822423856,0.4032682224590939,0.5441903809601197,0.7036117313680922,0.6882754589654347,0.9039532794249775,0.1626072761947861
V3-4,P2,3,29,extrasensory-p2-fold3-seed29-v2_multiseed,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_full_compact,val,False,51010,48460,0.9500098019996079,9.801999607983447e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.95,0.3129426647705699,86408,81020,5388,0.9376446625312471,0.012355337468752836,0.4139426395720088,0.53116359693898,0.6908611416343763,0.7027647494445816,0.9159242761692651,0.07976015386355922
