model_id,score_method,requested_coverage,fold_count,coverage,coverage_fold_std,accepted_count,accepted_count_fold_std,risk_masked_bce,risk_masked_bce_fold_std,macro_f1,macro_f1_fold_std,micro_f1,micro_f1_fold_std,known_target_count,known_target_count_fold_std,confidence_cutoff,confidence_cutoff_fold_std
P2,grouped_risk_full_compact,0.05,5,0.050007078996005226,4.311431646759798e-06,3722.2,873.2772755545628,0.2441355940974681,0.07257148688574672,0.5576637509322385,0.06495723752532792,0.9093413104558927,0.03867285401689258,42683.46666666667,9870.3199728614,0.45193146816560564,0.015127986614075292
P2,grouped_risk_full_compact,0.1,5,0.10000313391105256,4.350271245683503e-06,7443.6,1746.4202816046313,0.2421619654790294,0.044356756754809996,0.6114291476653965,0.044049418295948266,0.9088702775101583,0.02630931178344952,83812.46666666667,20519.856572489865,0.43907745132443504,0.01575155527737797
P2,grouped_risk_full_compact,0.15,5,0.1500075204647434,3.144169134636914e-06,11165.6,2619.6996583578048,0.2485148336953143,0.03665102476977547,0.642664469405776,0.031006254746403457,0.9015416282789814,0.02643801632328281,124525.66666666667,30519.15085191956,0.429299191803233,0.014086719694729263
P2,grouped_risk_full_compact,0.2,5,0.20000357537979072,3.0249180210511215e-06,14887.0,3492.8426818280836,0.2638200912356785,0.02952889137823728,0.6527457745383716,0.025697780291110115,0.8895601025117419,0.028230256271395228,164127.6666666667,40042.61320698794,0.4215259352147216,0.01239698581154258
P2,grouped_risk_full_compact,0.25,5,0.2500056473329816,3.8237698060698875e-06,18608.8,4365.950663944795,0.27569115941865346,0.02432789838407126,0.6633365294881686,0.01516768221147526,0.8772386461278462,0.027516972488561272,203249.53333333335,49477.23490578493,0.4145468035754328,0.010213387363821966
P2,grouped_risk_full_compact,0.3,5,0.3000040168485289,2.6309761406514875e-06,22330.4,5239.265101137754,0.2886703823327363,0.022406299252269758,0.6734907000778129,0.008450575183472522,0.8632281614191051,0.024986108311484394,241629.2,58985.62033364102,0.4082305530032328,0.00818830316114287
P2,grouped_risk_full_compact,0.35,5,0.35000608880171985,3.189508981368201e-06,26052.2,6112.3730825269495,0.3019863143493563,0.021394678229764517,0.6742371254551082,0.01403630132519254,0.8483627911056135,0.02166346901287112,279689.4,68409.04126664999,0.40279685587984027,0.006886104626344969
P2,grouped_risk_full_compact,0.4,5,0.4000044583172671,3.498653907729881e-06,29773.8,6985.687525218975,0.3149064088586378,0.020977512935973143,0.6732181328504632,0.01969396168449214,0.8338668474177485,0.01866080324558212,317465.8,77793.16129919275,0.3981664326733879,0.006160211677383478
P2,grouped_risk_full_compact,0.45,5,0.450006530270458,3.6429873523363466e-06,33495.6,7858.795505673881,0.3266522988746615,0.02025428379828679,0.6702085327460617,0.024575050401775923,0.8206296740263539,0.016513310783089596,355019.6666666666,87085.92389193049,0.39403828203601066,0.005728756459249519
P2,grouped_risk_full_compact,0.5,5,0.5000025851855053,3.643907512648645e-06,37217.0,8731.938530475349,0.33811466949204855,0.02001080838280441,0.6653298921221927,0.027888592988410288,0.807862008919353,0.01539401062876783,392193.1333333333,96558.17202730982,0.39018591582952483,0.0053687206125542135
P2,grouped_risk_full_compact,0.55,5,0.5500075679432102,4.372254802686094e-06,40939.0,9604.91548635385,0.34919207985217915,0.019024945735241598,0.6589032612487526,0.031039968907772157,0.7954819146893773,0.014613035938006938,428998.0666666666,105974.64624653285,0.38645499668788313,0.005025149093384004
P2,grouped_risk_full_compact,0.6,5,0.600005719096558,4.538874875364618e-06,44660.6,10478.358783702723,0.35997231115795303,0.017916167892998956,0.6514257794022466,0.032798179187948674,0.7835988497865357,0.014200728801765445,465716.6,115331.3706652367,0.38276191257068165,0.0046891825597543
P2,grouped_risk_full_compact,0.65,5,0.6500080094119485,3.610315715629472e-06,48382.4,11351.337907929621,0.37060724231501746,0.0170439193523337,0.6433909412927792,0.03381823719699631,0.7720332380401469,0.013734236627016243,502389.4666666667,124868.82468717147,0.3790369769716146,0.00429983080129476
P2,grouped_risk_full_compact,0.7,5,0.7000061605652961,4.077532910128363e-06,52104.0,12224.781204586036,0.3807725097768596,0.01588600530532874,0.6344255541079056,0.033445704520075024,0.7607438022992962,0.013135791396408573,538890.3333333333,134213.50264534986,0.37521573105705724,0.0038484775182324816
P2,grouped_risk_full_compact,0.75,5,0.7500061362801866,4.8186616363556415e-06,55825.6,13097.588911704323,0.390456296506087,0.01529709509047004,0.6254746511643962,0.03262415293298434,0.7500228197581559,0.012813358679498343,575480.6666666667,143460.52828778763,0.37122827834177524,0.0033705245911728517
P2,grouped_risk_full_compact,0.8,5,0.8000066020340343,4.494196416076866e-06,59547.4,13971.203627461737,0.39981842621980085,0.014833309752949475,0.6164380908350767,0.031343662879803724,0.7398828176402462,0.012605533138091932,612280.4,152388.88077244276,0.3668623346590971,0.002822066759908369
P2,grouped_risk_full_compact,0.85,5,0.8500065777489247,4.625112191283739e-06,63269.0,14844.011334541618,0.40898668369862773,0.014323035658052981,0.6075694091223076,0.029968183536929024,0.7301382632467475,0.0125401944452542,648849.9333333333,160608.87235686713,0.36179080503096056,0.002224061570945226
P2,grouped_risk_full_compact,0.9,5,0.9000070435027725,5.5960669684666475e-06,66990.8,15717.62605166569,0.4182289785188025,0.013308732501109788,0.5986391780255974,0.02797082290994757,0.7204941817046094,0.012664544256776924,684850.6000000001,167984.05147701773,0.35567277206555226,0.0020058542900019674
P2,grouped_risk_full_compact,0.95,5,0.950007019217663,5.206770870028924e-06,70712.4,16590.433758645373,0.4282345504572643,0.012636707322967738,0.5888243657539436,0.026326456926663806,0.7105091239654545,0.012859985163511544,720470.2666666667,174604.2600074364,0.34741123006004193,0.0026476074667718956
P2,grouped_risk_full_compact,1.0,5,1.0,0.0,74433.6,17463.71098306428,0.4396895228584613,0.012565086709131777,0.5776840964443883,0.024516425133215725,0.6993917630021248,0.012437651393560768,755688.0,182371.90756117017,0.2760634704079982,0.013427480363266601
P2,grouped_risk_output_compact,0.05,5,0.050007078996005226,4.311431646759798e-06,3722.2,873.2772755545628,0.26881607922669654,0.056482725330604805,0.4900270960269265,0.07704693927225309,0.9100465502687811,0.02654470761611283,40642.86666666667,10401.736528633626,0.4490032604600266,0.013155128882956028
P2,grouped_risk_output_compact,0.1,5,0.10000313391105256,4.350271245683503e-06,7443.6,1746.4202816046313,0.2591368980778414,0.0319729039644265,0.5629899485575659,0.05946302147876284,0.910355212011534,0.020325314176758372,81986.2,20304.765681156397,0.437599106887382,0.015521614011462785
