model_id,score_method,requested_coverage,fold_count,coverage,coverage_fold_std,accepted_count,accepted_count_fold_std,risk_masked_bce,risk_masked_bce_fold_std,macro_f1,macro_f1_fold_std,micro_f1,micro_f1_fold_std,known_target_count,known_target_count_fold_std,confidence_cutoff,confidence_cutoff_fold_std
B4,mean_binary_certainty,0.05,5,0.050007078996005226,4.311431646759798e-06,3722.2,873.2772755545628,0.37139034194982823,0.13222325287246697,0.4664404048695,0.06354184715737118,0.914556446953885,0.04667321968188628,39648.333333333336,10563.770112985232,0.956626338436117,0.010951280285191616
B4,mean_binary_certainty,0.1,5,0.10000313391105256,4.350271245683503e-06,7443.6,1746.4202816046313,0.31792325489286843,0.07390791668607244,0.4579904303089812,0.04585252437916543,0.9189493515980175,0.030080233978580204,81307.46666666666,20193.151092222663,0.9280257591721746,0.01855873198999529
B4,mean_binary_certainty,0.15,5,0.1500075204647434,3.144169134636914e-06,11165.6,2619.6996583578048,0.30128523805830526,0.060776343024880136,0.5208899730976547,0.07244635606545141,0.9186338924952011,0.025712518483577453,123348.73333333332,30547.675632070965,0.8834978013081646,0.045193753853106644
B4,mean_binary_certainty,0.2,5,0.20000357537979072,3.0249180210511215e-06,14887.0,3492.8426818280836,0.30171715523553805,0.0527176012870684,0.5673507659347314,0.07362154074462696,0.9103565365918218,0.028343565720638057,164282.6,41652.086400590095,0.8211813018067693,0.05595932112560723
B4,mean_binary_certainty,0.25,5,0.2500056473329816,3.8237698060698875e-06,18608.8,4365.950663944795,0.3095048453306877,0.04326909014168255,0.6118700157460241,0.08458130657343414,0.8956539504660797,0.029392090302710595,203878.2,51909.252305559385,0.7569948376513383,0.05316184674077702
B4,mean_binary_certainty,0.3,5,0.3000040168485289,2.6309761406514875e-06,22330.4,5239.265101137754,0.32172453942917145,0.03922998479184341,0.6522717013222185,0.040258593873305784,0.8771950630662888,0.02838215631613224,242490.4,61338.96541097582,0.6972835943777969,0.03517319956271562
B4,mean_binary_certainty,0.35,5,0.35000608880171985,3.189508981368201e-06,26052.2,6112.3730825269495,0.33485871880654755,0.03493429926074925,0.6634934423075218,0.03235945257565793,0.8577181203522208,0.0256995623225773,280486.4,70483.00094719451,0.6510035574550495,0.02456625636800129
B4,mean_binary_certainty,0.4,5,0.4000044583172671,3.498653907729881e-06,29773.8,6985.687525218975,0.3487129334727225,0.03125191478602156,0.6623073729249296,0.03129875033839365,0.8384220949850654,0.022203227041960868,317865.5333333333,79626.63392867435,0.6151133272638674,0.021596898955743606
B4,mean_binary_certainty,0.45,5,0.450006530270458,3.6429873523363466e-06,33495.6,7858.795505673881,0.36193523009381756,0.028629094012392702,0.6560753465956085,0.02947808772045254,0.8202453787839541,0.018946471694837767,354897.6666666666,88712.00716519594,0.5851034417462301,0.021247139855826495
B4,mean_binary_certainty,0.5,5,0.5000025851855053,3.643907512648645e-06,37217.0,8731.938530475349,0.3733102361087047,0.026748602966667902,0.6482383486180945,0.03089280254396736,0.80368687431394,0.016732647662512635,391532.2,97483.94204163975,0.558672184247122,0.02174728515061655
B4,mean_binary_certainty,0.55,5,0.5500075679432102,4.372254802686094e-06,40939.0,9604.91548635385,0.38316616859476893,0.025210076736437107,0.6405924444482654,0.031492271858553265,0.7888443075974002,0.015084355749994175,428195.2,106265.51650585224,0.5337236245435009,0.022189113841509577
B4,mean_binary_certainty,0.6,5,0.600005719096558,4.538874875364618e-06,44660.6,10478.358783702723,0.39238591317048654,0.02393007916100439,0.6321091214740882,0.03262710996479847,0.7751638720114393,0.013834099534858785,464532.0666666666,115156.0666958348,0.5092380578868887,0.02264359954705954
B4,mean_binary_certainty,0.65,5,0.6500080094119485,3.610315715629472e-06,48382.4,11351.337907929621,0.40115502583883933,0.02281391179738851,0.623731294200059,0.03300046509538215,0.7624952578476137,0.013063507508715,500827.5333333333,124007.94520415032,0.48421128204359076,0.022882376553746583
B4,mean_binary_certainty,0.7,5,0.7000061605652961,4.077532910128363e-06,52104.0,12224.781204586036,0.40911106608259773,0.022038311949577408,0.6157786062993199,0.0326017828860746,0.7507425317362659,0.012757383196280676,537022.2,132818.82297191332,0.4582597183188029,0.023552495557244285
B4,mean_binary_certainty,0.75,5,0.7500061362801866,4.8186616363556415e-06,55825.6,13097.588911704323,0.41667884015101125,0.021298345936837777,0.6081530335480966,0.03188081209636393,0.7397863986753906,0.012508788305115306,573394.5333333334,141632.4507514668,0.4306832567108458,0.02414073420950202
B4,mean_binary_certainty,0.8,5,0.8000066020340343,4.494196416076866e-06,59547.4,13971.203627461737,0.4242743665338658,0.020949740146493537,0.6000737697869265,0.030969361175790765,0.7292586860315902,0.012416463046055683,609913.2666666667,150357.31853514074,0.4009858043426998,0.025262456796639816
B4,mean_binary_certainty,0.85,5,0.8500065777489247,4.625112191283739e-06,63269.0,14844.011334541618,0.43205239501569126,0.02051425564602334,0.5916683768274638,0.029743689685003384,0.7190732714649708,0.012662935464716635,646496.8666666666,158990.30074113185,0.3672371534824432,0.02620637213889998
B4,mean_binary_certainty,0.9,5,0.9000070435027725,5.5960669684666475e-06,66990.8,15717.62605166569,0.4396940416475819,0.020032527642767913,0.5831822199002812,0.02856025631236347,0.7093759675976623,0.012865989869279157,683068.1333333333,167348.2256893292,0.32668268617930635,0.02661503557349494
B4,mean_binary_certainty,0.95,5,0.950007019217663,5.206770870028924e-06,70712.4,16590.433758645373,0.4474337730363184,0.019425831532876053,0.574376182169412,0.027747376952908336,0.700073652571656,0.013412325080006372,719574.9333333333,175228.88084214,0.27070812659951915,0.025025553217658952
B4,mean_binary_certainty,1.0,5,1.0,0.0,74433.6,17463.71098306428,0.4557503489236117,0.01861733265964979,0.5651348469273738,0.027810520917216187,0.6911299116175834,0.014427385364116025,755688.0,182371.90756117017,0.04159709910426944,0.010174887483877213
B4,mean_normalized_threshold_margin,0.05,5,0.050007078996005226,4.311431646759798e-06,3722.2,873.2772755545628,0.36355178281825173,0.13212953665920013,0.4528058474782185,0.029339257133716472,0.9226456040871753,0.04873003412731507,39605.2,10347.332126903264,0.9859237897236438,0.004484428018986498
B4,mean_normalized_threshold_margin,0.1,5,0.10000313391105256,4.350271245683503e-06,7443.6,1746.4202816046313,0.31742593920778905,0.07263830833497728,0.462205245717669,0.04595541891779329,0.9245902542207526,0.03314169955656071,81916.4,20136.806618726812,0.9686138735085692,0.010829171624872477
B4,mean_normalized_threshold_margin,0.15,5,0.1500075204647434,3.144169134636914e-06,11165.6,2619.6996583578048,0.30318581608999884,0.0567829277487176,0.49687615674130237,0.04090621318165273,0.9210460285266919,0.02748101067377583,123200.86666666667,30744.42289496494,0.9439459918888009,0.02108273108911353
B4,mean_normalized_threshold_margin,0.2,5,0.20000357537979072,3.0249180210511215e-06,14887.0,3492.8426818280836,0.30204906128537906,0.052252214014696256,0.5600834275710144,0.06576997019270893,0.9112620693159055,0.029788226412240142,164198.0,41593.733857664454,0.9118044824899654,0.027378146281868285
B4,mean_normalized_threshold_margin,0.25,5,0.2500056473329816,3.8237698060698875e-06,18608.8,4365.950663944795,0.30927240406549467,0.04570456277025789,0.6163394970047746,0.06491690612754485,0.8972588540217309,0.030146828549231664,203930.46666666667,52252.80228189787,0.8717786067315234,0.03012621296965276
B4,mean_normalized_threshold_margin,0.3,5,0.3000040168485289,2.6309761406514875e-06,22330.4,5239.265101137754,0.32212016935694343,0.04116238780792377,0.6472099793368044,0.04525982381146985,0.8785131285012895,0.028559418550671154,243010.1333333333,61789.75050865816,0.832865683627074,0.02018515004018982
B4,mean_normalized_threshold_margin,0.35,5,0.35000608880171985,3.189508981368201e-06,26052.2,6112.3730825269495,0.33570462740147244,0.03797417823912384,0.6604907488556553,0.03956592226066056,0.8588544413487655,0.026115980682653542,281418.5333333333,71065.34779991035,0.8012793331814472,0.013606414991395106
B4,mean_normalized_threshold_margin,0.4,5,0.4000044583172671,3.498653907729881e-06,29773.8,6985.687525218975,0.3486875679803682,0.03513853907813105,0.6675228790987457,0.03225666266286899,0.840143767602215,0.023367644434369703,319241.39999999997,80039.473187505,0.7758733294836883,0.010964441900140795
B4,mean_normalized_threshold_margin,0.45,5,0.450006530270458,3.6429873523363466e-06,33495.6,7858.795505673881,0.36067015737151575,0.0320824450406098,0.6643977116526996,0.03106087190201767,0.8226570615515125,0.021010400914381895,356507.6666666667,88791.62252556387,0.7534998387675521,0.01027896407684258
B4,mean_normalized_threshold_margin,0.5,5,0.5000025851855053,3.643907512648645e-06,37217.0,8731.938530475349,0.3714657493707872,0.02992466314730698,0.6591152782512479,0.03169559495074991,0.8069506610698823,0.019292275488432015,393464.13333333336,97240.9761613442,0.7329843707242054,0.010225943619741953
B4,mean_normalized_threshold_margin,0.55,5,0.5500075679432102,4.372254802686094e-06,40939.0,9604.91548635385,0.3813791777958049,0.027333107490354357,0.6525387257203616,0.033734106418759256,0.7926343210169527,0.017631167910967794,429900.0,105801.67545748559,0.7133698612547098,0.010480331675390489
B4,mean_normalized_threshold_margin,0.6,5,0.600005719096558,4.538874875364618e-06,44660.6,10478.358783702723,0.39075912499617915,0.02510710045377042,0.6443980886129135,0.035067563917891786,0.7792965884303558,0.016304514614543634,465977.7333333334,114384.01970516297,0.694056473108709,0.010944502010880602
B4,mean_normalized_threshold_margin,0.65,5,0.6500080094119485,3.610315715629472e-06,48382.4,11351.337907929621,0.39936868768084055,0.023697805342212802,0.6361111680141008,0.036381091617991954,0.7669678376410214,0.015372197321475389,501956.4,122983.99251334387,0.6741833506175103,0.011248343296085383
B4,mean_normalized_threshold_margin,0.7,5,0.7000061605652961,4.077532910128363e-06,52104.0,12224.781204586036,0.4074448595160418,0.022630864604263737,0.626683422975149,0.03660573709773778,0.7551128173432776,0.014749638930257304,537940.8666666667,131723.61257880498,0.6533847246215022,0.011608078407969348
B4,mean_normalized_threshold_margin,0.75,5,0.7500061362801866,4.8186616363556415e-06,55825.6,13097.588911704323,0.41535332921550844,0.021567269280787997,0.616797364891775,0.03632628283488114,0.7439720692661362,0.014235684598620514,574002.2666666667,140549.89181097856,0.6307054597553536,0.012093163064013175
B4,mean_normalized_threshold_margin,0.8,5,0.8000066020340343,4.494196416076866e-06,59547.4,13971.203627461737,0.423148502729061,0.02113798581573348,0.6075178098793085,0.035277705215652794,0.7333062303422226,0.013965342728931771,610188.7333333333,149340.78167425594,0.6054490690705482,0.012879973352695423
B4,mean_normalized_threshold_margin,0.85,5,0.8500065777489247,4.625112191283739e-06,63269.0,14844.011334541618,0.4310765631649476,0.020237933655594675,0.5975269491299782,0.033917099937651886,0.7229532409573887,0.013805334628256477,646808.9999999999,158164.63285397697,0.5762278583211327,0.013549468723606888
B4,mean_normalized_threshold_margin,0.9,5,0.9000070435027725,5.5960669684666475e-06,66990.8,15717.62605166569,0.4390092144673476,0.0194617575159884,0.5872439410679231,0.03213125723448113,0.7126090282729711,0.013705545841729193,683461.6,166905.2588212513,0.5399864368931873,0.013872880026623543
B4,mean_normalized_threshold_margin,0.95,5,0.950007019217663,5.206770870028924e-06,70712.4,16590.433758645373,0.44680680887281865,0.01894469740517746,0.5770552304802185,0.029831564798055897,0.7022800210788938,0.013878393596907762,719937.6,175339.4036334167,0.4882420316046626,0.01390970477163869
B4,mean_normalized_threshold_margin,1.0,5,1.0,0.0,74433.6,17463.71098306428,0.4557503489236117,0.018617332659649773,0.5651348469273738,0.027810520917216187,0.6911299116175834,0.014427385364116025,755688.0,182371.90756117017,0.23338999624883033,0.014978186252995494
B5,mean_binary_certainty,0.05,5,0.050007078996005226,4.311431646759798e-06,3722.2,873.2772755545628,0.2986755176514389,0.15517323925581059,0.5231921763457212,0.0636894202416319,0.9206412855877003,0.03962661694148683,39713.73333333333,9914.449669267804,0.938180014831931,0.013924860379807108
B5,mean_binary_certainty,0.1,5,0.10000313391105256,4.350271245683503e-06,7443.6,1746.4202816046313,0.26642169447697983,0.09669386074935507,0.5120929260001864,0.08419853559522915,0.9242987666452134,0.02718858109734537,81927.8,19339.721412448296,0.8983800334669267,0.027537731088038253
B5,mean_binary_certainty,0.15,5,0.1500075204647434,3.144169134636914e-06,11165.6,2619.6996583578048,0.2636850572955857,0.07002363252097318,0.5895601932110178,0.06548782638349218,0.9203673869276164,0.02533409097149292,123772.8,29353.345014381805,0.8269556554953787,0.05631817854674753
B5,mean_binary_certainty,0.2,5,0.20000357537979072,3.0249180210511215e-06,14887.0,3492.8426818280836,0.26854885245234306,0.055895368023707294,0.6160625927667622,0.06774929205750488,0.9097328410839214,0.026657745411070796,164569.3333333333,39825.356451637694,0.7525562250037774,0.06487384453055509
B5,mean_binary_certainty,0.25,5,0.2500056473329816,3.8237698060698875e-06,18608.8,4365.950663944795,0.2782626582721168,0.047910693337418535,0.6498392368149964,0.04910294045746022,0.8943214781422093,0.028102442680565373,204352.93333333332,50213.32638763449,0.6895618070475364,0.05577333205467438
B5,mean_binary_certainty,0.3,5,0.3000040168485289,2.6309761406514875e-06,22330.4,5239.265101137754,0.2934160186130624,0.042940030557537055,0.6728723369192594,0.02681053749199834,0.8754329397197983,0.028725157178881095,242946.59999999995,59635.044166068066,0.6354202511432435,0.04317058185738227
B5,mean_binary_certainty,0.35,5,0.35000608880171985,3.189508981368201e-06,26052.2,6112.3730825269495,0.31318739502879184,0.03909852954712432,0.6766215209276056,0.02133791496461408,0.8543150017431899,0.027240538659874095,280648.3333333334,69039.78778332582,0.5937453539421187,0.03626109713234829
B5,mean_binary_certainty,0.4,5,0.4000044583172671,3.498653907729881e-06,29773.8,6985.687525218975,0.3312728656825495,0.035769069996288455,0.6730832093893079,0.018191592338246954,0.8348299336540294,0.024065298649975246,317840.2,78657.07422257426,0.5603604644091286,0.03441848292256619
B5,mean_binary_certainty,0.45,5,0.450006530270458,3.6429873523363466e-06,33495.6,7858.795505673881,0.34608259470316366,0.03258869224827919,0.6666995485360083,0.01698358356923742,0.8172876968952005,0.021227886330587455,354536.7333333333,87897.01659909863,0.5314980013759831,0.03396423416523164
B5,mean_binary_certainty,0.5,5,0.5000025851855053,3.643907512648645e-06,37217.0,8731.938530475349,0.35818422884816764,0.030093141181719595,0.6594202752989422,0.018767381731761294,0.8015817356447776,0.018889251715669044,390969.00000000006,96907.61971331254,0.505218019963904,0.03426704924826705
B5,mean_binary_certainty,0.55,5,0.5500075679432102,4.372254802686094e-06,40939.0,9604.91548635385,0.3690390555660731,0.028203066152600337,0.6517118269498867,0.020881994622654332,0.7875708293511258,0.017336650916829333,427353.4666666666,105899.21437532535,0.47999887559906973,0.034499538192665595
B5,mean_binary_certainty,0.6,5,0.600005719096558,4.538874875364618e-06,44660.6,10478.358783702723,0.3786597553165939,0.026677304193607632,0.6439071487331042,0.02331762558876204,0.7749344199000415,0.01641999960658299,463656.6666666667,114851.53668589337,0.4552686624370164,0.034654975596448624
B5,mean_binary_certainty,0.65,5,0.6500080094119485,3.610315715629472e-06,48382.4,11351.337907929621,0.38770583164250827,0.02564296002321094,0.636170001232484,0.02433396859959121,0.7631854481839929,0.01621961930753007,499927.0666666667,123692.51114252814,0.43049755526934536,0.034935793904321645
B5,mean_binary_certainty,0.7,5,0.7000061605652961,4.077532910128363e-06,52104.0,12224.781204586036,0.3961091777772839,0.024777580799404165,0.6287153682460156,0.02476252525089867,0.7522581264778362,0.016246391389272384,536167.9333333333,132410.63401307483,0.404833404923413,0.03476362380816026
B5,mean_binary_certainty,0.75,5,0.7500061362801866,4.8186616363556415e-06,55825.6,13097.588911704323,0.4042277774442976,0.02406824861828677,0.6212246581868996,0.024281040385543726,0.7420447447257049,0.01667190961413028,572655.7333333334,141124.9837963577,0.37825354250302423,0.03419888275389971
B5,mean_binary_certainty,0.8,5,0.8000066020340343,4.494196416076866e-06,59547.4,13971.203627461737,0.41198003567571356,0.023222382055468175,0.6134552076503818,0.02419735817787819,0.732332803393559,0.01710422911033316,609202.0,149772.4376091572,0.3499937355033585,0.03347728183002214
B5,mean_binary_certainty,0.85,5,0.8500065777489247,4.625112191283739e-06,63269.0,14844.011334541618,0.4196966514123245,0.02230970277833332,0.6054440017393277,0.024240916674090035,0.7232377047621437,0.01736639478532415,645648.1333333333,158321.23503630908,0.3183656287619367,0.03226108580558078
B5,mean_binary_certainty,0.9,5,0.9000070435027725,5.5960669684666475e-06,66990.8,15717.62605166569,0.4275547474665995,0.021133554318889407,0.5971739563788999,0.023834654887165217,0.7142973608131173,0.017926077611169263,682163.4,166614.66892627164,0.2805964371456535,0.030754634134958228
B5,mean_binary_certainty,0.95,5,0.950007019217663,5.206770870028924e-06,70712.4,16590.433758645373,0.43577341046465545,0.020091740364195455,0.5883862961193131,0.02360337507188207,0.7056413883889359,0.018666365603733418,718835.3333333334,174636.86934003624,0.22977600957780625,0.027143923575961237
B5,mean_binary_certainty,1.0,5,1.0,0.0,74433.6,17463.71098306428,0.44513800145186166,0.018980531882054976,0.5786048766904713,0.024325477872746325,0.6967628226209163,0.01952398782364254,755688.0,182371.90756117017,0.037052790049596974,0.006887484288250472
B5,mean_normalized_threshold_margin,0.05,5,0.050007078996005226,4.311431646759798e-06,3722.2,873.2772755545628,0.2989588378027933,0.14478362630453465,0.5035921031436613,0.10031760071764566,0.9226692429582595,0.043783916240622923,39482.4,10251.746161291527,0.9784885414844045,0.007127597061452227
B5,mean_normalized_threshold_margin,0.1,5,0.10000313391105256,4.350271245683503e-06,7443.6,1746.4202816046313,0.2695844525028352,0.09694476700316348,0.5240608770973694,0.0970498662531354,0.9269189504134685,0.02845044125588276,81475.53333333334,19600.684247693443,0.9559903995311737,0.012743974583359574
B5,mean_normalized_threshold_margin,0.15,5,0.1500075204647434,3.144169134636914e-06,11165.6,2619.6996583578048,0.26638120982405644,0.07244753926830562,0.5790305002863513,0.06782299210398764,0.9217507174595359,0.026090979000395878,123244.66666666666,29499.813941032837,0.9217883098497046,0.027288402324391243
B5,mean_normalized_threshold_margin,0.2,5,0.20000357537979072,3.0249180210511215e-06,14887.0,3492.8426818280836,0.272060988307345,0.056478177181929705,0.6168956954693317,0.06321094364070338,0.9109278703345683,0.027516139167306643,164217.6,40387.68889594397,0.8776634130544334,0.03351778704966094
B5,mean_normalized_threshold_margin,0.25,5,0.2500056473329816,3.8237698060698875e-06,18608.8,4365.950663944795,0.28106667098957405,0.04796019461031195,0.6459168920857066,0.05142303777312354,0.8953187168755792,0.02869920528665709,204224.93333333332,50699.91355920748,0.8351518092900067,0.03233772184835374
B5,mean_normalized_threshold_margin,0.3,5,0.3000040168485289,2.6309761406514875e-06,22330.4,5239.265101137754,0.296247848879464,0.04521639826233748,0.6747661801412634,0.029199453057536632,0.8767941377077216,0.029287655172038945,243330.0666666667,60705.45608940125,0.7973608067475254,0.025177966907981634
B5,mean_normalized_threshold_margin,0.35,5,0.35000608880171985,3.189508981368201e-06,26052.2,6112.3730825269495,0.3131769950748847,0.042646538281835525,0.6861879880682313,0.022548471355979302,0.8570428791340495,0.028596250137413022,281946.3333333334,70277.27028784707,0.7671988676035926,0.021078492951847418
B5,mean_normalized_threshold_margin,0.4,5,0.4000044583172671,3.498653907729881e-06,29773.8,6985.687525218975,0.32888662524920054,0.038756921193214326,0.6841068522730562,0.01624721991706883,0.8383763831711428,0.02676333764041081,319770.20000000007,79530.12663052077,0.7425428863696455,0.01918797555511451
B5,mean_normalized_threshold_margin,0.45,5,0.450006530270458,3.6429873523363466e-06,33495.6,7858.795505673881,0.3428618540939776,0.0349094237908725,0.6780493136363225,0.016355624257668466,0.8214012822224733,0.02473885204144546,356939.4,88362.33466666915,0.7206014328269787,0.01899539938036915
B5,mean_normalized_threshold_margin,0.5,5,0.5000025851855053,3.643907512648645e-06,37217.0,8731.938530475349,0.35497726599358415,0.03181258651252134,0.672013123129201,0.017648698333019443,0.8065409936385146,0.0228664722129038,393603.4666666667,97064.89344036231,0.7004828572671123,0.01917637106690792
B5,mean_normalized_threshold_margin,0.55,5,0.5500075679432102,4.372254802686094e-06,40939.0,9604.91548635385,0.3660884243934114,0.029080438406294852,0.6642872857857073,0.020266488407751602,0.7930418362985727,0.02137041382246606,429917.9333333333,105541.87253050062,0.6811668589345319,0.0195148404503663
B5,mean_normalized_threshold_margin,0.6,5,0.600005719096558,4.538874875364618e-06,44660.6,10478.358783702723,0.3764515347122458,0.0273652707021454,0.6568815032539165,0.021740726762416257,0.7807264138129724,0.020399506653442034,466038.5333333334,114115.39957078538,0.6617148488206925,0.02042948054927466
B5,mean_normalized_threshold_margin,0.65,5,0.6500080094119485,3.610315715629472e-06,48382.4,11351.337907929621,0.38600623298968106,0.025907836595959785,0.6494564948624081,0.023322777219156998,0.7690663185156144,0.019710903522872168,501975.4,122784.06921126932,0.6417721835855023,0.021297257497685042
B5,mean_normalized_threshold_margin,0.7,5,0.7000061605652961,4.077532910128363e-06,52104.0,12224.781204586036,0.39479068135303175,0.024894184075166,0.6403188979021881,0.024394359766948714,0.7578792328823145,0.01913064850018444,538014.8666666667,131501.2361865427,0.6210248202634944,0.022507849524287655
B5,mean_normalized_threshold_margin,0.75,5,0.7500061362801866,4.8186616363556415e-06,55825.6,13097.588911704323,0.40317285793188756,0.024241063443265296,0.631227013450701,0.024782821645397243,0.7472365666905494,0.018977408569556188,574149.4666666666,140162.0058804176,0.5986706467465631,0.023234410953935573
B5,mean_normalized_threshold_margin,0.8,5,0.8000066020340343,4.494196416076866e-06,59547.4,13971.203627461737,0.41104104848746836,0.023495883876497762,0.6225625729769715,0.024952172299780938,0.7371998473994521,0.018931944873378573,610160.7333333332,148877.64575602193,0.5741905486796617,0.02352260904567508
B5,mean_normalized_threshold_margin,0.85,5,0.8500065777489247,4.625112191283739e-06,63269.0,14844.011334541618,0.4187463365871407,0.022538180088982607,0.61308550752773,0.024788724302240873,0.7274548480914599,0.01902514674126994,646534.6666666666,157615.9657728239,0.5459467733334201,0.023237199993880873
B5,mean_normalized_threshold_margin,0.9,5,0.9000070435027725,5.5960669684666475e-06,66990.8,15717.62605166569,0.4268748289911187,0.021568596724742636,0.602970574578547,0.024529037227531025,0.7177028823382317,0.019116121036596788,683141.6,166374.47876175132,0.5112785512238619,0.02214916339658275
B5,mean_normalized_threshold_margin,0.95,5,0.950007019217663,5.206770870028924e-06,70712.4,16590.433758645373,0.4352785709129089,0.02039834991498606,0.5916585122741324,0.024046337842503155,0.7076047337055504,0.01931001756124883,719666.6666666667,174749.22315675364,0.46264636692206196,0.01966767294559344
B5,mean_normalized_threshold_margin,1.0,5,1.0,0.0,74433.6,17463.71098306428,0.44513800145186166,0.018980531882054976,0.5786048766904713,0.024325477872746325,0.6967628226209163,0.01952398782364254,755688.0,182371.90756117017,0.2292524488183853,0.030208153032238786
P,mean_binary_certainty,0.05,5,0.050007078996005226,4.311431646759798e-06,3722.2,873.2772755545628,0.3295012253002831,0.14244101828560835,0.5019533553173808,0.08212261855427336,0.9203579682721333,0.03969892481082146,40086.73333333333,10435.59065942657,0.9412603772491819,0.010819149040791357
P,mean_binary_certainty,0.1,5,0.10000313391105256,4.350271245683503e-06,7443.6,1746.4202816046313,0.282435997533388,0.09449709169307173,0.48420378660548413,0.02225826975060255,0.9260723927206234,0.02521366332519518,82752.13333333333,20207.75865107261,0.9030348857834914,0.01957320145808826
P,mean_binary_certainty,0.15,5,0.1500075204647434,3.144169134636914e-06,11165.6,2619.6996583578048,0.2773632069508356,0.06799473301185081,0.5555165113402473,0.055205902886227586,0.9216817331654144,0.023323210056436006,124740.2,30014.964155493435,0.8382613349993718,0.046156782583484976
P,mean_binary_certainty,0.2,5,0.20000357537979072,3.0249180210511215e-06,14887.0,3492.8426818280836,0.2801992812483612,0.05332334529614238,0.6023746783559334,0.05273049310489989,0.9117119521192715,0.023962739508202265,165053.73333333334,39850.55358558746,0.7654881907617787,0.05339924157106012
P,mean_binary_certainty,0.25,5,0.2500056473329816,3.8237698060698875e-06,18608.8,4365.950663944795,0.2859130457413931,0.04440684724108673,0.63979120114499,0.044207346100912724,0.8975757353831634,0.024829486375399223,204056.19999999998,50188.12275030817,0.6986408118199362,0.0463476780354089
P,mean_binary_certainty,0.3,5,0.3000040168485289,2.6309761406514875e-06,22330.4,5239.265101137754,0.2957436762546627,0.03655729810697528,0.6667460341935956,0.030934441572474023,0.8806691025061018,0.02404619149989578,242141.4,59865.50955748876,0.6433356483679279,0.03395081644389525
P,mean_binary_certainty,0.35,5,0.35000608880171985,3.189508981368201e-06,26052.2,6112.3730825269495,0.3120863505447764,0.033011043894734145,0.6772093161689914,0.025049215086083352,0.8605529120556767,0.02112398659475532,279911.73333333334,69517.36828839571,0.5989403985921953,0.026642548076546056
P,mean_binary_certainty,0.4,5,0.4000044583172671,3.498653907729881e-06,29773.8,6985.687525218975,0.32740982650621486,0.030376342251636212,0.6752137655605979,0.023987660767582696,0.8409631578133029,0.017995196686289797,317325.6666666666,78908.94507701055,0.5633714212466254,0.022930884836792738
P,mean_binary_certainty,0.45,5,0.450006530270458,3.6429873523363466e-06,33495.6,7858.795505673881,0.3412345920728565,0.027834886662229046,0.6689321249238758,0.023718839124715705,0.822848294461336,0.015530591303802233,354429.3333333333,87944.34686683012,0.5326626612697587,0.02133539151660093
P,mean_binary_certainty,0.5,5,0.5000025851855053,3.643907512648645e-06,37217.0,8731.938530475349,0.3532733958246824,0.02555831905861678,0.6613736634274217,0.02393631756646303,0.8066448941564195,0.013923380783095081,391091.26666666666,97007.3603299713,0.5048625642996681,0.021020967791700464
P,mean_binary_certainty,0.55,5,0.5500075679432102,4.372254802686094e-06,40939.0,9604.91548635385,0.36388867405553,0.02392212841017969,0.6535182880759672,0.02439512612800616,0.7918684560151928,0.012984806102879824,427860.6,105908.43102190786,0.4790810802226219,0.020851571470330565
P,mean_binary_certainty,0.6,5,0.600005719096558,4.538874875364618e-06,44660.6,10478.358783702723,0.37359920063547836,0.022150460968814813,0.645290556523044,0.025036754456116115,0.7785024201566075,0.01221615541028672,464163.1333333334,114753.33256419569,0.4541521658987092,0.020544163985904116
P,mean_binary_certainty,0.65,5,0.6500080094119485,3.610315715629472e-06,48382.4,11351.337907929621,0.38290528373878385,0.020746286807317424,0.6366264848237725,0.02499505927014166,0.7660859129403648,0.011992567582810105,500281.8666666667,123618.77110329519,0.4293480124064679,0.01989961466382917
P,mean_binary_certainty,0.7,5,0.7000061605652961,4.077532910128363e-06,52104.0,12224.781204586036,0.3915653648459503,0.019643551022279476,0.6282099681659907,0.024913798342517862,0.7546534289550307,0.012231657964192618,536637.1333333334,132544.08491739226,0.403481432347174,0.019602513806243577
P,mean_binary_certainty,0.75,5,0.7500061362801866,4.8186616363556415e-06,55825.6,13097.588911704323,0.39991438352069786,0.018499854842651927,0.6196396134429265,0.025296587720798458,0.7439418071676032,0.012309344424264516,573066.4,141402.31651889975,0.376276134854833,0.01950393330529141
P,mean_binary_certainty,0.8,5,0.8000066020340343,4.494196416076866e-06,59547.4,13971.203627461737,0.40816191622415704,0.017252462197141095,0.610984384311406,0.025216753911729718,0.7337286988497934,0.012662869179970698,609596.4,150099.40004810147,0.34714454204406847,0.01968191168042931
P,mean_binary_certainty,0.85,5,0.8500065777489247,4.625112191283739e-06,63269.0,14844.011334541618,0.4163080453058468,0.01635663144377837,0.6026533825294502,0.024878805520259235,0.7242074221309382,0.013100274716685971,646268.6666666666,158691.21228260314,0.3147385405226041,0.020358476648778715
P,mean_binary_certainty,0.9,5,0.9000070435027725,5.5960669684666475e-06,66990.8,15717.62605166569,0.42466915066494837,0.01543777185727276,0.5942970855272807,0.024884881852270935,0.7150832374686711,0.01374082655574677,682806.2,167004.31973714533,0.2761288267648884,0.02012121854337294
