model_id,score_method,fold,error_prevalence,error_detection_auroc,error_detection_auprc,normalized_aurc,confidence_mean,confidence_std,confidence_min,confidence_max,actual_coverage_0_80,risk_masked_bce_0_80,macro_f1_0_80,micro_f1_0_80,actual_coverage_0_90,risk_masked_bce_0_90,macro_f1_0_90,micro_f1_0_90,actual_coverage_0_95,risk_masked_bce_0_95,macro_f1_0_95,micro_f1_0_95,actual_coverage_1_00,risk_masked_bce_1_00,macro_f1_1_00,micro_f1_1_00,seed_count
P2,mean_binary_certainty,0,0.6963269237666324,0.735332212921984,0.8435565358827689,0.3017951507100728,0.5437792800693938,0.21845150596974613,0.022928871993306,0.9969850684163232,0.8000122965308413,0.3819004992162092,0.6098525832863966,0.7501175748485558,0.9000138335971964,0.40082019284174225,0.5948069624097637,0.7322203970987612,0.950014602130374,0.4107662044875236,0.5862056317770222,0.723804065445839,1.0,0.42161029494264285,0.578556509015339,0.7167703429880822,3
P2,mean_binary_certainty,1,0.7016998285811726,0.7122463978820178,0.8310544798061018,0.364934388943202,0.5459254394786578,0.21357089244986957,0.034654274877001796,0.9917200963588856,0.8000053848846288,0.4031724913221226,0.6267741209058338,0.7218684102432485,0.9000026924423145,0.4199954437918397,0.609104062381224,0.7012816763678918,0.9500013462211573,0.42841258135872584,0.6001983313892295,0.6916588162250759,1.0,0.4376861663444138,0.5917862430862229,0.6831750692922437,3
P2,mean_binary_certainty,2,0.7003776722671167,0.7562527964601616,0.8549231594847503,0.3740710572641143,0.5738435036482246,0.2280157328972925,0.0408506916954002,0.9975366366452202,0.8000083849532015,0.42757246351742206,0.6053778744278857,0.735453006849907,0.9000094330723517,0.4403997461765055,0.5938325617566625,0.7193877767473529,0.9500047165361757,0.4471156181238731,0.5878263951085588,0.7120161481888564,1.0,0.4546976433319169,0.5808665461004737,0.7045953898585241,3
P2,mean_binary_certainty,3,0.6978559084035428,0.7518704735821554,0.8495408047107554,0.34231598546292846,0.5441278432506715,0.21076027026520963,0.04029790288462926,0.9944994074139548,0.8000069438014998,0.40363399565315405,0.5734936718800232,0.7368956639496927,0.9000092584019997,0.41935603209821287,0.5570569484470442,0.7179294678083772,0.950004629201,0.42727724569197595,0.5476055399456613,0.7085684805842404,1.0,0.4366350232484508,0.5367494914144401,0.6980044005934554,3
P2,mean_binary_certainty,4,0.7263412402796837,0.6806214514914943,0.8390117865135597,0.34302173720169943,0.4911721728006768,0.2189817078836851,0.046897395202351366,0.9825615738281984,0.8000000000000002,0.40888528886459286,0.6425000268415951,0.7327459977041247,0.9,0.42837181287884646,0.6233125196921795,0.7141933427312591,0.950009801999608,0.438277070737677,0.6123455659906384,0.7043719219232677,1.0,0.4478184864248825,0.6004616926054661,0.6944136122783187,3
P2,p2_system_reliability,0,0.6963269237666324,0.4902266753149896,0.6901219430892153,0.4292992821103818,0.9838190994418833,0.013337053116274067,0.8375426928202311,0.9992427229881287,0.8000122965308413,0.4218956401991978,0.5843889670050539,0.7171386161534768,0.9000138335971964,0.42112733617635634,0.5828229381733019,0.7173030651038182,0.950014602130374,0.42140023387026204,0.5809831921411884,0.7169669262895715,1.0,0.42161029494264285,0.578556509015339,0.7167703429880822,3
P2,p2_system_reliability,1,0.7016998285811726,0.542993832212101,0.719232158245625,0.4203005794458261,0.9748036750232352,0.0241577729451417,0.8177376588185629,0.9991183876991272,0.8000053848846288,0.43340146140082897,0.5904313085855536,0.6793926590788913,0.9000026924423145,0.4359571299616096,0.5940655257009689,0.678699207027417,0.9500013462211573,0.43809462190977544,0.593295988258844,0.6798129258164595,1.0,0.4376861663444138,0.5917862430862229,0.6831750692922437,3
P2,p2_system_reliability,2,0.7003776722671167,0.522722468841169,0.7130386807595138,0.4364627648626396,0.9768418517285807,0.01765214905530563,0.8153713941574097,0.9989691178003947,0.8000083849532015,0.4558486407539879,0.5830714551387103,0.7057427363208165,0.9000094330723517,0.4569211123701477,0.5827051862662721,0.7043460301753783,0.9500047165361757,0.4562140953106526,0.5816301873408788,0.7039167131159975,1.0,0.4546976433319169,0.5808665461004737,0.7045953898585241,3
P2,p2_system_reliability,3,0.6978559084035428,0.49008397101194595,0.6931164387279417,0.44144963859530795,0.9790669383860364,0.016121075464244235,0.8019739389419556,0.9991846481959025,0.8000069438014998,0.4452893754090721,0.5378051286478167,0.6892118140957134,0.9000092584019997,0.44059656846764256,0.5375483774324484,0.6950390338239236,0.950004629201,0.4383056130491694,0.5371636561054577,0.6970079727565955,1.0,0.43663502324845077,0.5367494914144401,0.6980044005934554,3
P2,p2_system_reliability,4,0.7263412402796837,0.4975034554721005,0.7147217514405594,0.4544860038424852,0.9818342411973028,0.0126138824865648,0.863922913869222,0.9984439214070638,0.8000000000000002,0.45055167669692414,0.6074353066172691,0.692607066219379,0.9,0.45166596872251036,0.6028954757885123,0.6930574790991407,0.950009801999608,0.45107832026944966,0.6009938304860061,0.6930940961222811,1.0,0.4478184864248824,0.6004616926054661,0.6944136122783187,3
