selector,feature,unit_count,coefficient_mean,coefficient_std,coefficient_abs_mean,positive_fraction,negative_fraction,sign_agreement
task_confidence_full,availability::audio,15,0.10521012718224075,0.3117538464128931,0.23413728173898035,0.6,0.4,0.6
task_confidence_full,availability::location,15,-0.24818644974620216,0.881254805588275,0.735329713207911,0.4666666666666667,0.5333333333333333,0.5333333333333333
task_confidence_full,availability::phone_acc,15,0.15484749395786465,0.16094009178483418,0.1636042898065853,0.9333333333333333,0.06666666666666667,0.9333333333333333
task_confidence_full,availability::phone_gyro,15,0.1217638522964993,0.9278468308425025,0.5497628053630417,0.6,0.4,0.6
task_confidence_full,availability::phone_state,15,0.0,0.0,0.0,0.0,0.0,0.0
task_confidence_full,availability::watch_acc,15,0.2271302511256863,2.1689235379191443,1.477594612049973,0.6,0.4,0.6
task_confidence_full,fusion_weight::audio,15,-0.00584301798993178,0.1236013802681705,0.09618015764237238,0.4,0.6,0.6
task_confidence_full,fusion_weight::location,15,-0.08686187243270435,0.18109296639337377,0.1598576608070155,0.2,0.8,0.8
task_confidence_full,fusion_weight::phone_acc,15,-0.062309843360024104,0.07801413799549171,0.07519600724441394,0.2,0.8,0.8
task_confidence_full,fusion_weight::phone_gyro,15,0.07629107109895747,0.17409161428397524,0.16895910734380315,0.8,0.2,0.8
task_confidence_full,fusion_weight::phone_state,15,0.08251055065497206,0.08774516054732406,0.09058368197968229,0.8666666666666667,0.13333333333333333,0.8666666666666667
task_confidence_full,fusion_weight::watch_acc,15,-0.0012885689202031295,0.14487015744330442,0.11049495438404318,0.6,0.4,0.6
task_confidence_full,label_certainty::BICYCLING,15,0.15115683772294847,0.27553769629290276,0.22141534896767542,0.6666666666666666,0.3333333333333333,0.6666666666666666
task_confidence_full,label_certainty::COMPUTER_WORK,15,-0.12506042781580123,0.2703931672315359,0.24231534350354095,0.26666666666666666,0.7333333333333333,0.7333333333333333
task_confidence_full,label_certainty::EATING,15,-0.007568612819300378,0.29636829666319753,0.23465396253237092,0.5333333333333333,0.4666666666666667,0.5333333333333333
task_confidence_full,label_certainty::FIX_walking,15,-0.08478198248738504,0.13764035935163152,0.12378151911246649,0.3333333333333333,0.6666666666666666,0.6666666666666666
task_confidence_full,label_certainty::IN_A_CAR,15,-0.020675494057950175,0.13761090265527534,0.1059048827039145,0.4666666666666667,0.5333333333333333,0.5333333333333333
task_confidence_full,label_certainty::LOC_home,15,0.04768446121935883,0.2299207431363609,0.1918028527096653,0.6,0.4,0.6
task_confidence_full,label_certainty::LOC_main_workplace,15,0.11183133256161085,0.30921066842650086,0.26315574046076307,0.6,0.4,0.6
task_confidence_full,label_certainty::LYING_DOWN,15,0.15582206323455733,0.32196499558224306,0.2838378308074734,0.8666666666666667,0.13333333333333333,0.8666666666666667
task_confidence_full,label_certainty::OR_exercise,15,-0.02863026564676014,0.29305584322510586,0.22964769612296623,0.4,0.6,0.6
task_confidence_full,label_certainty::OR_indoors,15,-0.15809636850948222,0.8006539054244531,0.588435928568201,0.5333333333333333,0.4666666666666667,0.5333333333333333
task_confidence_full,label_certainty::OR_outside,15,0.07276835623681294,0.7884706861938073,0.5839782358604106,0.4,0.6,0.6
task_confidence_full,label_certainty::OR_standing,15,0.06524733797961667,0.28355008404847165,0.22959607954799832,0.7333333333333333,0.26666666666666666,0.7333333333333333
task_confidence_full,label_certainty::SITTING,15,-0.20444803894562685,0.2148994101599431,0.23589217334440932,0.13333333333333333,0.8666666666666667,0.8666666666666667
task_confidence_full,label_certainty::SLEEPING,15,0.2558815838335915,0.3451071855203721,0.2875291178909701,0.8666666666666667,0.13333333333333333,0.8666666666666667
task_confidence_full,label_certainty::TALKING,15,-0.16956503819813637,0.5164574242039367,0.47284648229400983,0.4,0.6,0.6
task_confidence_full,label_threshold_margin::BICYCLING,15,-0.101281263963386,0.3248474473513141,0.25450580702873055,0.4666666666666667,0.5333333333333333,0.5333333333333333
task_confidence_full,label_threshold_margin::COMPUTER_WORK,15,-0.039759130441601856,0.2102389572499479,0.17108477937492347,0.4,0.6,0.6
task_confidence_full,label_threshold_margin::EATING,15,-0.2100556366311254,0.25775880993208206,0.2639928339622982,0.2,0.8,0.8
task_confidence_full,label_threshold_margin::FIX_walking,15,0.024781431909810317,0.12707390194482396,0.0966000778828695,0.6666666666666666,0.3333333333333333,0.6666666666666666
task_confidence_full,label_threshold_margin::IN_A_CAR,15,0.04280319820615248,0.08546415543204902,0.08061716143947255,0.7333333333333333,0.26666666666666666,0.7333333333333333
task_confidence_full,label_threshold_margin::LOC_home,15,-0.23947752919039947,0.2349166342684948,0.2913468004524101,0.13333333333333333,0.8666666666666667,0.8666666666666667
task_confidence_full,label_threshold_margin::LOC_main_workplace,15,-0.2449391087683092,0.2736262342418636,0.3012243361241779,0.26666666666666666,0.7333333333333333,0.7333333333333333
task_confidence_full,label_threshold_margin::LYING_DOWN,15,-0.26550942850864295,0.19718594715158805,0.2731172955721135,0.06666666666666667,0.9333333333333333,0.9333333333333333
