policy_mode,target_coverage,fold,acceptance_threshold,validation_achieved_coverage,validation_coverage_absolute_error,test_coverage,coverage_absolute_error,risk_masked_bce,macro_f1,micro_f1,accepted_error_prevalence,rejected_error_precision,rejected_error_recall,seed_count
error_alert,0.8,0,0.3478188344246434,0.8000053848846288,5.384884628756304e-06,0.8131849551945157,0.014652341208236533,0.38412527338788216,0.6082873454036012,0.7478389380496656,0.6525652274301573,0.8863008526642039,0.2378527182376322,3
error_alert,0.8,1,0.3717511346016515,0.8000083849532015,8.38495320143462e-06,0.7792331924288521,0.020766807571147766,0.3993167748075894,0.6306970828386403,0.7264782115395215,0.6551659577914711,0.8658326225455514,0.27251049598938415,3
error_alert,0.8,2,0.3451156169465368,0.8000069438014998,6.943801499792457e-06,0.8488507373518223,0.04885073735182207,0.4339801759754231,0.5995495001371661,0.7272925626085947,0.6665623003969168,0.8903450368990288,0.19212728002564097,3
error_alert,0.8,3,0.37529879028157226,0.8000000000000002,0.0,0.7609210566922816,0.0424783199086504,0.3969453774362129,0.5803696861087588,0.7453413748525451,0.6422230222834483,0.8742557908557623,0.29952961676370093,3
error_alert,0.8,4,0.2987790136759714,0.8000122965308413,1.229653084122706e-05,0.7987518787165916,0.008998235640070533,0.40853821188136763,0.6429919794629281,0.7329996064497665,0.6874071094607617,0.8812182929666957,0.24406150216005937,3
error_alert,0.9,0,0.2659274611480514,0.9000026924423145,2.692442314433663e-06,0.9130276620708383,0.0130276620708382,0.40326747766944576,0.592731747057904,0.7301763984647169,0.6774157291285917,0.8941279702078552,0.11176034532645074,3
error_alert,0.9,1,0.30273673621039116,0.9000094330723517,9.433072351683336e-06,0.8901483535715248,0.0098516464284752,0.4182925993618399,0.6109630579509014,0.7032716360576422,0.6801277153690611,0.8765385875558058,0.1372390410213533,3
error_alert,0.9,2,0.2817847371195173,0.9000092584019997,9.258401999834298e-06,0.9266770779835586,0.026677077983558468,0.4439459610708447,0.5906569141453044,0.7153991279487556,0.6843779332549685,0.9026215913879233,0.09449772039229258,3
error_alert,0.9,3,0.3093608752460962,0.9,0.0,0.8770368484399592,0.025993735147980063,0.4157757868746608,0.5611597079917413,0.7221689000457779,0.6710824482819994,0.8884824394348957,0.15660670603500923,3
error_alert,0.9,4,0.23629446309661353,0.9000138335971964,1.3833597196422076e-05,0.9005685159772594,0.0064758544076324335,0.42850855413750494,0.6232362800447144,0.714135441209229,0.7064800009821446,0.906411812125335,0.12406927507014587,3
error_alert,0.95,0,0.20783320582148157,0.9500013462211573,1.3462211572168314e-06,0.9606715955261121,0.010671595526112167,0.4130098371044988,0.5843131608942332,0.7220760254673032,0.6879402419055479,0.8994406260204127,0.050902710213136367,3
error_alert,0.95,1,0.25205090711740474,0.9500047165361757,4.716536175841668e-06,0.94480493255432,0.0051950674456799,0.4275259334675254,0.6012338975336028,0.692648314479865,0.6912757011005692,0.8801046242606477,0.0692196336748719,3
