policy_mode,target_coverage,fold_count,acceptance_threshold,acceptance_threshold_fold_std,validation_achieved_coverage,validation_achieved_coverage_fold_std,validation_coverage_absolute_error,validation_coverage_absolute_error_fold_std,test_coverage,test_coverage_fold_std,coverage_absolute_error,coverage_absolute_error_fold_std,risk_masked_bce,risk_masked_bce_fold_std,macro_f1,macro_f1_fold_std,micro_f1,micro_f1_fold_std,accepted_error_prevalence,accepted_error_prevalence_fold_std,rejected_error_precision,rejected_error_precision_fold_std,rejected_error_recall,rejected_error_recall_fold_std
error_alert,0.8,5,0.34775267798607506,0.030578147777805226,0.8000066020340343,4.494196416076866e-06,6.602034034242088e-06,4.494196416117639e-06,0.8001883640768126,0.03361562914647735,0.027149288335985462,0.017552083640837848,0.40458116269769506,0.018603915070612896,0.6123791187902189,0.02489297365857021,0.7359901387000187,0.010036278380468337,0.660784723472551,0.017217717799011448,0.8795905191862484,0.009760595786584725,0.24921632263528354,0.04027688091022947
error_alert,0.9,5,0.27922085456413387,0.029527023313421063,0.9000070435027725,5.5960669684666475e-06,7.043502772474675e-06,5.5960669684776335e-06,0.901491691608628,0.01933226077592879,0.01640519520769687,0.009359490028354758,0.42195807582285927,0.015226381197504774,0.5957495414381131,0.023550320578629786,0.7170303007452243,0.009994584514031847,0.6838967654033531,0.013515272327546811,0.8936364801423631,0.011864705647111465,0.12483461756905034,0.023744394079446278
error_alert,0.95,5,0.22963693033056018,0.029401721541511067,0.9500070192176631,5.206770870028925e-06,7.019217662995736e-06,5.206770870004374e-06,0.9513438240316422,0.011116301094119518,0.009668302205379006,0.004039727774559423,0.4306602472482438,0.013706231260424832,0.5868082510089291,0.02341775085371379,0.7080071636775085,0.010765095361106564,0.6944512081608153,0.012874849412668999,0.9015364867101052,0.01360559296312416,0.06224670591565533,0.01409138909910734
risk_control,0.8,5,0.3675180824107836,0.003424397867723218,0.8000066020340343,4.494196416076866e-06,6.602034034242088e-06,4.494196416117639e-06,0.7911122053134285,0.031139372560197855,0.02803892496206122,0.012021735700171742,0.3979726408616836,0.01731700523665532,0.6181696067391017,0.032905810174595665,0.7417960598667739,0.013951931548321061,0.6609989133595926,0.021108190342496856,0.8680017824963878,0.02531917087171314,0.25755512705519407,0.0400238555521582
risk_control,0.9,5,0.3565374708497347,0.004068885139228388,0.9000070435027725,5.5960669684666475e-06,7.043502772474675e-06,5.5960669684776335e-06,0.8934889178728624,0.022382417685201605,0.021345711743576613,0.009675375928748656,0.417014251992628,0.014767035885196855,0.6005943405527117,0.029732777500012682,0.7221715325837723,0.013093564688938943,0.6837565322002004,0.014751236746951182,0.8798746612767102,0.03257704398154511,0.1327935567193459,0.027013226861866392
risk_control,0.95,5,0.34856181385162416,0.004763103380742303,0.9500070192176631,5.206770870028925e-06,7.019217662995736e-06,5.206770870004374e-06,0.9445220109054281,0.0163117067288046,0.015329999773496278,0.008438600294526059,0.4273429507032656,0.013661865916578938,0.5906273891369038,0.02801095476351295,0.7119125562712237,0.013010142233548632,0.6942535839761101,0.01279446472311279,0.8834684742407344,0.036965850007858105,0.06922679091142855,0.019227836491939567
