phase,model_id,fold,seed,run_id,scenario,policy_mode,confidence_source,selected_risk_family,threshold_source_split,test_rank_selection,validation_sample_count,validation_accepted_count,validation_achieved_coverage,validation_coverage_absolute_error,protocol_sha256,target_coverage,acceptance_threshold,test_sample_count,accepted_count,rejected_count,test_coverage,coverage_absolute_error,risk_masked_bce,macro_f1,micro_f1,accepted_error_prevalence,rejected_error_precision,rejected_error_recall
V3-4,P2,0,29,extrasensory-p2-fold0-seed29-v2_multiseed,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_full_compact,val,False,74282,66854,0.9000026924423145,2.692442314433663e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.9,0.2712352932614563,65059,59325,5734,0.911864615195438,0.0118646151954379,0.4156776084223593,0.5936676294396478,0.7313349446758893,0.6705773282764433,0.8885594698290896,0.113532544510551
V3-4,P2,0,29,extrasensory-p2-fold0-seed29-v2_multiseed,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_full_compact,val,False,74282,70568,0.9500013462211572,1.3462211572168314e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.95,0.2152104449218693,65059,62310,2749,0.9577460458968012,0.0077460458968013,0.4246629152759718,0.5847442119594851,0.72378509961474,0.6804204782538918,0.9021462349945436,0.0552621610178933
V3-4,P2,0,47,extrasensory-p2-fold0-seed47-v2_multiseed,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,74282,59426,0.8000053848846288,5.384884628756304e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.8,0.3669428264496441,65059,50392,14667,0.7745584776894818,0.0254415223105182,0.3622964094536091,0.6088334003884504,0.766835807578335,0.6369860295284966,0.9027749369332516,0.2920379355977062
V3-4,P2,0,47,extrasensory-p2-fold0-seed47-v2_multiseed,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,74282,66854,0.9000026924423145,2.692442314433663e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.9,0.3547514876210463,65059,57114,7945,0.8778800780829709,0.0221199219170291,0.3850849925941372,0.5945020783871292,0.7458171801673128,0.665143397415695,0.9252359974826936,0.1621305690339655
V3-4,P2,0,47,extrasensory-p2-fold0-seed47-v2_multiseed,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,74282,70568,0.9500013462211572,1.3462211572168314e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.95,0.3459811160001187,65059,60604,4455,0.9315236938778648,0.0184763061221352,0.3981434515284523,0.5855816313991892,0.7340188769106807,0.6791960926671506,0.9378226711560044,0.092148213498015
V3-4,P2,0,47,extrasensory-p2-fold0-seed47-v2_multiseed,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_full_compact,val,False,74282,59426,0.8000053848846288,5.384884628756304e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.8,0.3393344007377388,65059,51904,13155,0.7977989209794187,0.0022010790205813,0.374633342840438,0.605907809105474,0.7543528366332509,0.6469443588162762,0.894032687191182,0.2593956771063079
V3-4,P2,0,47,extrasensory-p2-fold0-seed47-v2_multiseed,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_full_compact,val,False,74282,66854,0.9000026924423145,2.692442314433663e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.9,0.2573697362925657,65059,58940,6119,0.905946909728093,0.0059469097280929,0.397391081333503,0.5872141359895121,0.7330975915697273,0.6754326433661351,0.9037424415754208,0.1219673577415086
V3-4,P2,0,47,extrasensory-p2-fold0-seed47-v2_multiseed,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_full_compact,val,False,74282,70568,0.9500013462211572,1.3462211572168314e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.95,0.2005915281593568,65059,62319,2740,0.9578843818687652,0.0078843818687652,0.4086003651757373,0.577800540233621,0.7234605049178617,0.6874147531250502,0.9127737226277371,0.0551610057344508
V3-4,P2,1,13,extrasensory-p2-fold1-seed13-v2_seed13,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,95409,76328,0.8000083849532015,8.38495320143462e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.8,0.3691380983975975,74282,59426,14856,0.8000053848846288,5.384884628756304e-06,0.408440404888742,0.6323423248664232,0.7184694293542668,0.6688318244539427,0.8270732364028002,0.2361386043472411
V3-4,P2,1,13,extrasensory-p2-fold1-seed13-v2_seed13,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,95409,85869,0.9000094330723517,9.433072351683336e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.9,0.3555483012998969,74282,66921,7361,0.9009046606176464,0.0009046606176462,0.4248618340252061,0.6159447987899288,0.7024668634470994,0.6863316447751827,0.8290993071593533,0.1172909499740549
V3-4,P2,1,13,extrasensory-p2-fold1-seed13-v2_seed13,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,95409,90639,0.9500047165361758,4.716536175841668e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.95,0.3425931129923342,74282,70806,3476,0.953205352575321,0.003205352575321,0.4336557345595727,0.6048205710904377,0.6931299252911624,0.6943903059062791,0.8245109321058688,0.0550804297272884
V3-4,P2,1,13,extrasensory-p2-fold1-seed13-v2_seed13,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_full_compact,val,False,95409,76328,0.8000083849532015,8.38495320143462e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.8,0.3934757654444213,74282,58118,16164,0.7823968121482997,0.0176031878517003,0.4088527846379239,0.633784593844796,0.7276841724964693,0.6538077703981555,0.8682875525859935,0.2697326696519516
V3-4,P2,1,13,extrasensory-p2-fold1-seed13-v2_seed13,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_full_compact,val,False,95409,85869,0.9000094330723517,9.433072351683336e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.9,0.3245186997479216,74282,66226,8056,0.891548423575025,0.008451576424975,0.4261979217157692,0.6150189009232395,0.7044268027433707,0.6791290429740585,0.8759930486593843,0.1356254684527127
V3-4,P2,1,13,extrasensory-p2-fold1-seed13-v2_seed13,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_full_compact,val,False,95409,90639,0.9500047165361758,4.716536175841668e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.95,0.272680725106541,74282,70358,3924,0.9471742817910126,0.0028257182089873,0.4347926830788137,0.6051556413966311,0.6937100840562966,0.6903124022854544,0.8827726809378186,0.0665731362788999
V3-4,P2,1,29,extrasensory-p2-fold1-seed29-v2_multiseed,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,95409,76328,0.8000083849532015,8.38495320143462e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.8,0.3697200406761645,74282,60311,13971,0.8119194421259525,0.0119194421259524,0.4076356320561271,0.628454849820521,0.7056202184515185,0.6936711379350368,0.850977023835087,0.2212936249418334
V3-4,P2,1,29,extrasensory-p2-fold1-seed29-v2_multiseed,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,95409,85869,0.9000094330723517,9.433072351683336e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.9,0.354633439278834,74282,67697,6585,0.9113513367976092,0.0113513367976091,0.4248180100468476,0.6095158655317482,0.6867692512582613,0.7109325376309142,0.8499620349278664,0.1041786877617496
V3-4,P2,1,29,extrasensory-p2-fold1-seed29-v2_multiseed,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,95409,90639,0.9500047165361758,4.716536175841668e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.95,0.3421152204635751,74282,71214,3068,0.9586979348967448,0.0086979348967448,0.4332329031676073,0.5986966575466589,0.678074046668957,0.7174431993709102,0.8582138200782269,0.0490088413215449
V3-4,P2,1,29,extrasensory-p2-fold1-seed29-v2_multiseed,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_full_compact,val,False,95409,76328,0.8000083849532015,8.38495320143462e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.8,0.3938540197655969,74282,58279,16003,0.7845642282114106,0.0154357717885894,0.4063272032608122,0.6275288149600348,0.7125188837425502,0.6797645807237599,0.881647191151659,0.2626151698464402
V3-4,P2,1,29,extrasensory-p2-fold1-seed29-v2_multiseed,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_full_compact,val,False,95409,85869,0.9000094330723517,9.433072351683336e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.9,0.3203784815448235,74282,66280,8002,0.8922753829999193,0.0077246170000807,0.4221447329338985,0.6092672476856341,0.6906487277386735,0.7019161134580567,0.9000249937515621,0.1340530479292694
V3-4,P2,1,29,extrasensory-p2-fold1-seed29-v2_multiseed,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_full_compact,val,False,95409,90639,0.9500047165361758,4.716536175841668e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.95,0.2662243972486647,74282,70018,4264,0.9425971298564928,0.0074028701435071,0.4300409218272871,0.6006267953177585,0.6809036021979513,0.7120169099374447,0.9078330206378988,0.0720521172638436
V3-4,P2,1,47,extrasensory-p2-fold1-seed47-v2_multiseed,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_output_compact,val,False,95409,76328,0.8000083849532015,8.38495320143462e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.8,0.3749206691685401,74282,58221,16061,0.7837834199402278,0.0162165800597722,0.3871017437970578,0.6353776977919381,0.7418176829507297,0.6398550351247831,0.8318286532594483,0.2639638037658309
V3-4,P2,1,47,extrasensory-p2-fold1-seed47-v2_multiseed,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_output_compact,val,False,95409,85869,0.9000094330723517,9.433072351683336e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.9,0.363812354491577,74282,66309,7973,0.8926657871355106,0.0073342128644894,0.4084617622432517,0.6130118057595253,0.7180745179257234,0.6646307439412448,0.8205192524771102,0.1292553296583881
V3-4,P2,1,47,extrasensory-p2-fold1-seed47-v2_multiseed,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_output_compact,val,False,95409,90639,0.9500047165361758,4.716536175841668e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.95,0.355809653484665,74282,70157,4125,0.9444683772650172,0.0055316227349828,0.4178987440901697,0.6025020321367457,0.706737105822123,0.6734039368844164,0.8167272727272727,0.0665639262640033
V3-4,P2,1,47,extrasensory-p2-fold1-seed47-v2_multiseed,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_output_compact,val,False,95409,76328,0.8000083849532015,8.38495320143462e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.8,0.3279236185949361,74282,57252,17030,0.7707385369268464,0.0292614630731536,0.3827703365240323,0.63077783971109,0.7392315783795447,0.6319255222524978,0.8475631238990018,0.2851836484697607
V3-4,P2,1,47,extrasensory-p2-fold1-seed47-v2_multiseed,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_output_compact,val,False,95409,85869,0.9000094330723517,9.433072351683336e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.9,0.2633130273384284,74282,65860,8422,0.8866212541396301,0.0133787458603699,0.406535143435852,0.6086030252438307,0.7147393776908826,0.6593379896750683,0.8535977202564712,0.1420386066820777
V3-4,P2,1,47,extrasensory-p2-fold1-seed47-v2_multiseed,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_output_compact,val,False,95409,90639,0.9500047165361758,4.716536175841668e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.95,0.2172475989970085,74282,70170,4112,0.9446433860154546,0.0053566139845453,0.4177441954964752,0.5979192558864186,0.703331257185347,0.6714977910788086,0.8497081712062257,0.0690336474818722
V3-4,P2,2,13,extrasensory-p2-fold2-seed13-v2_seed13,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,86408,69127,0.8000069438014998,6.943801499792457e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.8,0.3616312369660733,95409,79832,15577,0.8367344799756836,0.0367344799756835,0.4278698480618264,0.606036274207206,0.7311229118125583,0.6774726926545747,0.8707710085382294,0.2005085146641438
V3-4,P2,2,13,extrasensory-p2-fold2-seed13-v2_seed13,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,86408,77768,0.9000092584019999,9.258401999834298e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.9,0.3471832970512515,95409,88044,7365,0.9228060245888752,0.0228060245888752,0.441675560778597,0.5973635732634838,0.7188922793527203,0.6924719458452592,0.9069925322471148,0.0987464522232734
V3-4,P2,2,13,extrasensory-p2-fold2-seed13-v2_seed13,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,86408,82088,0.950004629201,4.62920099997266e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.95,0.3383295271149203,95409,91716,3693,0.9612929597836682,0.0112929597836682,0.4511704558049846,0.590775953126112,0.7118248806037983,0.7007174320729208,0.9155158407798538,0.0499793046357615
V3-4,P2,2,13,extrasensory-p2-fold2-seed13-v2_seed13,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_full_compact,val,False,86408,69127,0.8000069438014998,6.943801499792457e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.8,0.3575613613023066,95409,80659,14750,0.8454024253477135,0.0454024253477134,0.4460609439026879,0.5954071153937586,0.7232223444236487,0.6742954908937626,0.8989830508474577,0.1960146641438032
V3-4,P2,2,13,extrasensory-p2-fold2-seed13-v2_seed13,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_full_compact,val,False,86408,77768,0.9000092584019999,9.258401999834298e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.9,0.2900044352009504,95409,88684,6725,0.9295139871500592,0.0295139871500591,0.455262854087561,0.5868296095483674,0.7103249176130948,0.693631320193045,0.9121189591078068,0.0906752601702932
V3-4,P2,2,13,extrasensory-p2-fold2-seed13-v2_seed13,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_full_compact,val,False,86408,82088,0.950004629201,4.62920099997266e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.95,0.2429034073318795,95409,92032,3377,0.9646050162982528,0.0146050162982528,0.4594697782980865,0.5825549143702407,0.7048117401297519,0.7013538769123783,0.9182706544270062,0.0458402317880794
V3-4,P2,2,29,extrasensory-p2-fold2-seed29-v2_multiseed,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,86408,69127,0.8000069438014998,6.943801499792457e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.8,0.3662600233648337,95409,80173,15236,0.8403085662778145,0.0403085662778144,0.4046720879530028,0.6142309662224202,0.7370962504375403,0.6643508413056765,0.8844841165660279,0.2019209158063501
V3-4,P2,2,29,extrasensory-p2-fold2-seed29-v2_multiseed,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,86408,77768,0.9000092584019999,9.258401999834298e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.9,0.3553268375537431,95409,88267,7142,0.9251433302937878,0.0251433302937877,0.4225450977421375,0.5993712594390291,0.7208816410714217,0.6836530073526913,0.8954074488938673,0.0958210341779169
V3-4,P2,2,29,extrasensory-p2-fold2-seed29-v2_multiseed,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,86408,82088,0.950004629201,4.62920099997266e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.95,0.3471148138811075,95409,92141,3268,0.9657474661719544,0.0157474661719544,0.4331398285312963,0.5918327510997936,0.7129637154868597,0.6926558209700351,0.892594859241126,0.0437075772786526
V3-4,P2,2,29,extrasensory-p2-fold2-seed29-v2_multiseed,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_full_compact,val,False,86408,69127,0.8000069438014998,6.943801499792457e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.8,0.3201990402484017,95409,81360,14049,0.8527497405905103,0.0527497405905103,0.4180429866615449,0.6025661147872262,0.7286324786324786,0.665523598820059,0.8962915510000712,0.1886752873132651
V3-4,P2,2,29,extrasensory-p2-fold2-seed29-v2_multiseed,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_full_compact,val,False,86408,77768,0.9000092584019999,9.258401999834298e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.9,0.2604013767241832,95409,88397,7012,0.9265058851890284,0.0265058851890283,0.4297369832388282,0.5931944803734124,0.7165215638933402,0.6832811068248923,0.9040216771249286,0.0949819445901197
V3-4,P2,2,29,extrasensory-p2-fold2-seed29-v2_multiseed,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_full_compact,val,False,86408,82088,0.950004629201,4.62920099997266e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.95,0.21343838212896,95409,91902,3507,0.9632424614030124,0.0132424614030123,0.4358290187342953,0.5881517836773973,0.7109177518325834,0.6915845139387609,0.9070430567436556,0.047663285335411
V3-4,P2,2,47,extrasensory-p2-fold2-seed47-v2_multiseed,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,86408,69127,0.8000069438014998,6.943801499792457e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.8,0.361347662364641,95409,81109,14300,0.850118961523546,0.050118961523546,0.4250875415576546,0.609571027593211,0.73850604224436,0.6632556189818639,0.8590209790209791,0.1858958837772397
